Page Name,Page Path,Tally Hook(s) Used,Tally Template ID(s),Tally Columns AVAILABLE,Tally Columns MISSING (Falls Back to Google Sheets),Google Sheets Columns Used as Fallback,Fallback Logic,Estimated Tally Coverage,Why Partial
"DebitNoteVouchers","src/pages/Vouchers/DebitNoteVouchers.jsx","useTallyJournalDnCnVouchers","54","date, voucherNo, type, party, amount","originalInvoiceReference, taxReversal, reason, itemDetails, PartyID","vouchers (PartyID, Narration), voucherLines (ItemID, Qty, Rate, Amount)","Tally priority; filtered for type 'debit note'",35%,"Same gap as Credit Note vouchers."
"ByItem","src/pages/Reports/ByItem.jsx","useTallyByItemRollup","60","itemName, qtySold, salesValue","purchaseQty, purchaseValue, stockBalance, itemGroup, unit, rate, GST, profitMargin, totalTransactions","items (Unit, SaleRate, GST, GroupID), itemGroups (GroupName), itemStockStatus (CurrentStock), voucherLines (Qty, Rate, Amount)","if tallyItemRollup.length > 0 use Tally; else compute from vouchers + voucherLines",40%,"Tally provides sales rollup only. Purchase data, stock balance, item metadata all from Google Sheets."
"BalanceSheet","src/pages/Reports/BalanceSheet.jsx","useTallyTrialBalance","62","ledgerName, groupName, debit, credit, balance","StatementType classification, Nature classification, groupingHierarchy, parentGroup, comparativePeriod, openingBalances","groups (GroupType, Nature, ParentGroup), ledgers (OpeningBalance, ClosingBalance, GroupID), parties (OpeningBalance)","Tally trial balance takes priority; Google Sheets used for classification hierarchy via groups join",50%,"Tally provides raw trial balance. Classification into Balance Sheet format (Assets/Liabilities/Equity) requires groups data from Google Sheets."
"ProfitLoss","src/pages/Reports/ProfitLoss.jsx","useTallyProfitLoss","30","sales, purchases, directExpenses, directIncome, indirectExpenses, indirectIncome, openingStock, closingStock, grossProfit, netProfit","detailedExpenseBreakdown, revenueStreams, otherIncomeItems, depreciation, financeCosts, employeeCosts, detailedLedgerGroupings","groups (GroupType, Nature, StatementType), ledgers (LedgerName, OpeningBalance), vouchers (GrandTotal, VoucherType), voucherLines (Amount, LedgerID)","if tallyProfitLoss truthy use directly; else compute via calculateProfitLoss() utility",45%,"Tally P&L is summary level only. Detailed expense/revenue breakdown requires Google Sheets aggregation via the profitLoss utility."
"DayBook","src/pages/Reports/DayBook.jsx","useTallyDayBook","33","month, total_sales, total_purchase, total_receipt, total_payment, total_expense","individualVoucherDetails, partyNames, voucherNumbers, narration, voucherType, date (daily, not monthly)","vouchers (VoucherNo, VoucherDate, VoucherType, PartyName, GrandTotal, Narration)","if tallyEntries truthy return as-is; else normalize vouchers into daybook entries",30%,"Tally DayBook is MONTHLY AGGREGATES only. No individual voucher details. Google Sheets provides per-voucher day book with full details."
"ExpensesReport","src/pages/Reports/ExpensesReport.jsx","useTallyExpenses","6,12","expenses (name, group, amount), today","expenseDate, voucherNo, partyName, expenseType, notes, billReference, narration, category","vouchers (VoucherDate, VoucherNo, PartyName, Narration, VoucherType), voucherLines (Amount, LedgerID), groups (GroupName, Nature)","Tally expenses take priority; Google Sheets via voucherLines + groups join for Journal expense extraction",50%,"Tally provides expense ledger amounts. But date, voucher reference, party name, and notes only from Google Sheets."
"CustomerView","src/pages/Reports/CustomerView.jsx","useTallyPartyDetails","49","name, gstin, address, mobile, email, balance, type","PAN, creditLimit, creditDays, salesPerson, status, city, state, PIN, openingBalance, PartyID","parties (PAN, CreditLimit, CreditDays, SalesPerson, Status, City, State, PIN, OpeningBalance, PartyID)","if tallyParties.length > 0 map Tally parties; else normalize Google Sheets parties filtering Customer type",55%,"Tally provides good contact details (GSTIN, address, mobile, email). Missing credit terms, PAN, location fields."
"LedgerStatement","src/pages/Reports/LedgerStatement.jsx","useTallyPartyStatement","28,2","transactions (date, voucherNo, type, particulars, debit, credit, amount, balance)","openingBalance, closingBalance, groupName, ledgerType, LedgerID","ledgers (OpeningBalance, ClosingBalance, GroupID), groups (GroupName, GroupType, Nature)","Tally party statement for selected ledger; Google Sheets for ledger lookup data",60%,"Tally provides transactions. Ledger metadata (opening/closing balance, group) from Google Sheets."
"StockAging","src/pages/Reports/StockAging.jsx","useTallyStockBatches, useTallyBatchStock","22,58","batches (raw array from template 22), stock data (raw from template 58)","ageingDays, ageingBucket, expDate, mfgDate, batchNo, rate, value, itemName, location","stockBatches (BatchNo, Quantity, InwardDate, MfgDate, ExpDate, Rate, Value, AgeingDays, AgeingBucket, Location), items (ItemName)","Tally batch/stock data for aging computation; Google Sheets for item, batch metadata",40%,"Tally provides raw batch data. Aging classification, expiry dates, batch values from Google Sheets."
"StockStatusReport","src/pages/Reports/StockStatusReport.jsx","useTallyStockStatus","9","name, quantity, locations","salesVelocity30d, isUnderstock, isOverstock, isPopular, daysOfStock, reorderLevel, stockValue, lastSaleDate, lastPurchaseDate, minStockLevel, maxStockLevel","itemStockStatus (SalesVelocity30d, IsUnderstock, IsOverstock, IsPopular, DaysOfStock, ReorderLevel, StockValue, LastSaleDate, LastPurchaseDate), items (MinStockLevel, MaxStockLevel)","Tally stock status takes priority; Google Sheets for analytics and thresholds",35%,"Tally provides current stock and locations only. All analytics (velocity, under/overstock flags, days of stock) from Google Sheets."
"GeographicReport","src/pages/Reports/GeographicReport.jsx","useTallyGeographicRollup","61","partyName, status, daysSinceLastTxn, salesValue, txnCount","state, city, totalPurchaseValue, totalOutstanding, topCustomers, topItems, periodStart, periodEnd, PartyCount","geographicSummary (State, City, PartyCount, TotalSalesValue, TotalPurchaseValue, TotalOutstanding, TopCustomers, TopItems, PeriodStart, PeriodEnd)","Tally geographic data takes priority; Google Sheets for full geographic summary",40%,"Tally provides customer movement by location. Full geographic rollup (state/city aggregation) from Google Sheets."
"CustomerMovementReport","src/pages/Reports/CustomerMovementReport.jsx","useTallyCustomerMovementRollup","59","partyName, status, daysSinceLastTxn, salesValue, txnCount","PartyID, PartyType, firstTransactionDate, lastTransactionDate, totalPurchaseValue, salesPerson, city, state","customerMovement (MovementID, PartyID, PartyType, FirstTransactionDate, LastTransactionDate, TotalSalesValue, TotalPurchaseValue, TransactionCount, SalesPerson, City, State)","Tally customer movement data takes priority; Google Sheets for full movement detail",45%,"Tally provides movement summary. Full history (first/last dates, purchase value, salesperson) from Google Sheets."
"GstLiability","src/pages/Reports/GstLiability.jsx","useTallyGstLiability","25","name, balance, inwardItc, outwardTax","ledgerDetails, period, returnFilingStatus, paymentStatus, dueDate, GSTIN","ledgers (LedgerName, OpeningBalance, ClosingBalance)","Tally GST liability takes priority; Google Sheets provides ledger context",60%,"Tally provides tax liability amounts. Filing status, payment tracking, period info from Google Sheets."
"TrendCharts","src/pages/Reports/TrendCharts.jsx","useTallyTrends","39,40","sales (raw array), purchases (raw array)","processedTrends, monthlyBreakdown, YoYComparison, growthRates, movingAverages, forecasts","vouchers (VoucherDate, GrandTotal, VoucherType)","Tally trends data takes priority; Google Sheets provides voucher-based trends",40%,"Tally trends are RAW data only. No processed trends, no YoY comparison. Google Sheets can compute these from voucher dates."
"PendingOrders","src/pages/Reports/PendingOrders.jsx","useTallyPendingSales","20","number, date, party, amount, status, dueDate, items, orderedQty, dispatchedQty, pendingQty","OrderID, PartyID, referenceNo, itemID, rate, narration, expectedDate","orders (OrderID, PartyID, ReferenceNo, ItemID, Rate, Narration, ExpectedDate)","Tally pending sales orders take priority; Google Sheets provides full order detail",55%,"Tally covers core order fields well. Missing reference numbers, item IDs, rates, and narration."
"Parties","src/pages/Masters/Parties.jsx","useTallyParties, useTallyPartyDetails","19,26,16,49","name, type, gstin, address, mobile, email, balance","PAN, creditLimit, creditDays, salesPerson, status, city, state, PIN, openingBalance, PartyID","parties (PAN, CreditLimit, CreditDays, SalesPerson, Status, City, State, PIN, OpeningBalance, PartyID)","Two-tier fallback: tallyPartyDetails preferred; then tallyParties; then Google Sheets parties",60%,"Tally provides core party info. Missing credit terms, PAN, salesperson assignment, and ID fields."
"Items","src/pages/Masters/Items.jsx","useTallyItems","55","name, group, stock, unit, rate, gst","Brand, CategoryID, SubCategory, MRP, minStockLevel, maxStockLevel, reorderLevel, location, HSN, isActive, openingStock, purchaseRate, ItemID","items (Brand, CategoryID, SubCategory, MRP, MinStockLevel, MaxStockLevel, ReorderLevel, Location, HSN, IsActive, OpeningStock, PurchaseRate, ItemID)","if tallyItems.length > 0 map Tally items; else use Google Sheets items",40%,"Tally provides basic item fields. Missing brand, category, MRP, stock levels, HSN code, purchase rate - all from Google Sheets."
"Ledgers","src/pages/Masters/Ledgers.jsx","useTallyLedgers","48","name, group, type, balance","LedgerID, CompanyID, GroupID, openingBalance, closingBalance, isActive","ledgers (LedgerID, CompanyID, GroupID, OpeningBalance, ClosingBalance, IsActive), groups (GroupID, GroupName, Nature)","if tallyLedgers.length > 0 use Tally; else normalize Google Sheets ledgers with groups join",50%,"Tally provides ledger name/group/balance. Missing IDs, opening/closing balance distinction, active status."
"Accounts","src/pages/Masters/Accounts.jsx","useTallyAccounts","50","name, type, balance, accountNo, branch","AccountID, CompanyID, LedgerID, bankName, IFSC, openingBalance, isActive, location","bankAccounts (AccountID, CompanyID, LedgerID, BankName, IFSC, OpeningBalance, IsActive), cashAccounts (Location)","if tallyAccounts.length > 0 use Tally; else merge bankAccounts + cashAccounts",55%,"Tally covers account identity. Missing bank name, IFSC, and metadata fields."
