SettingID,CompanyID,SettingKey,SettingValue,Description,CreatedAt,UpdatedAt
SET-0098,COMP-0010,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0099,COMP-0010,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0100,COMP-0010,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0101,COMP-0011,CompanyName,Company 0011,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0102,COMP-0011,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0103,COMP-0011,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0104,COMP-0011,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0105,COMP-0011,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0106,COMP-0011,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0107,COMP-0011,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0108,COMP-0011,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0109,COMP-0011,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0110,COMP-0011,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0111,COMP-0012,CompanyName,Company 0012,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0112,COMP-0012,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0113,COMP-0012,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0114,COMP-0012,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0115,COMP-0012,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0116,COMP-0012,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0117,COMP-0012,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0118,COMP-0012,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0119,COMP-0012,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0120,COMP-0012,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0121,COMP-0013,CompanyName,Company 0013,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0122,COMP-0013,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0123,COMP-0013,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0124,COMP-0013,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0125,COMP-0013,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0126,COMP-0013,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0127,COMP-0013,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0128,COMP-0013,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0129,COMP-0013,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0130,COMP-0013,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0131,COMP-0014,CompanyName,Company 0014,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0132,COMP-0014,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0133,COMP-0014,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0134,COMP-0014,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0135,COMP-0014,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0136,COMP-0014,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0137,COMP-0014,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0138,COMP-0014,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0139,COMP-0014,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0140,COMP-0014,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0141,COMP-0015,CompanyName,Company 0015,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0142,COMP-0015,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0143,COMP-0015,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0144,COMP-0015,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0145,COMP-0015,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0146,COMP-0015,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0147,COMP-0015,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0148,COMP-0015,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0149,COMP-0015,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0150,COMP-0015,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0151,COMP-0016,CompanyName,Company 0016,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0152,COMP-0016,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0153,COMP-0016,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0154,COMP-0016,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0155,COMP-0016,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0156,COMP-0016,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0157,COMP-0016,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0158,COMP-0016,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0159,COMP-0016,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0160,COMP-0016,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0161,COMP-0017,CompanyName,Company 0017,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0162,COMP-0017,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0163,COMP-0017,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0164,COMP-0017,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0165,COMP-0017,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0166,COMP-0017,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0167,COMP-0017,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0168,COMP-0017,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0169,COMP-0017,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0170,COMP-0017,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0171,COMP-0018,CompanyName,Company 0018,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0172,COMP-0018,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0173,COMP-0018,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0174,COMP-0018,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0175,COMP-0018,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0176,COMP-0018,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0177,COMP-0018,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0178,COMP-0018,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0179,COMP-0018,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0180,COMP-0018,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0181,COMP-0019,CompanyName,Company 0019,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0182,COMP-0019,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0183,COMP-0019,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0184,COMP-0019,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0185,COMP-0019,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0186,COMP-0019,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0187,COMP-0019,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0188,COMP-0019,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0189,COMP-0019,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0190,COMP-0019,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0191,COMP-0020,CompanyName,Company 0020,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0192,COMP-0020,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0193,COMP-0020,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0194,COMP-0020,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0195,COMP-0020,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0196,COMP-0020,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0197,COMP-0020,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0198,COMP-0020,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0199,COMP-0020,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0200,COMP-0020,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0201,COMP-0021,CompanyName,Company 0021,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0202,COMP-0021,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0203,COMP-0021,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0204,COMP-0021,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0205,COMP-0021,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0206,COMP-0021,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0207,COMP-0021,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0208,COMP-0021,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0209,COMP-0021,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0210,COMP-0021,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0211,COMP-0022,CompanyName,Company 0022,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0212,COMP-0022,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0213,COMP-0022,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0214,COMP-0022,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0215,COMP-0022,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0216,COMP-0022,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0217,COMP-0022,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0218,COMP-0022,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0219,COMP-0022,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0220,COMP-0022,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0221,COMP-0023,CompanyName,Company 0023,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0222,COMP-0023,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0223,COMP-0023,PANNumber,ABCD1234E,PAN number,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0224,COMP-0023,FinancialYearStart,2024-04-01,Financial year start date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0225,COMP-0023,FinancialYearEnd,2025-03-31,Financial year end date,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0226,COMP-0023,CurrencySymbol,INR,Currency symbol,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0227,COMP-0023,DateFormat,DD-MM-YYYY,Date format preference,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0228,COMP-0023,TaxRate,18,Default tax rate,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0229,COMP-0023,LowStockAlert,10,Low stock alert threshold,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0230,COMP-0023,EmailNotifications,TRUE,Email notifications enabled,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0231,COMP-0024,CompanyName,Company 0024,Company display name,2024-01-01 10:00:00,2024-05-01 08:00:00
SET-0232,COMP-0024,GSTNumber,27ABCD1234E1Z5,GST registration number,2024-01-01 10:00:00,2024-05-01 08:00:00
