MovementID,CompanyID,PartyID,PartyName,PartyType,FirstTransactionDate,LastTransactionDate,TotalSalesValue,TotalPurchaseValue,TransactionCount,DaysSinceLastTxn,Status,SalesPerson,City,State,CreatedAt,UpdatedAt
CMOV-0012,COMP-0001,PTY-0014,Amit Gupta Suppliers,Both,2024-04-04,2024-06-09,1976000,0,5,-39,Active,Rajesh Kumar,Chennai,Tamil Nadu,2024-06-09 00:00:00,2024-05-01 08:00:00
CMOV-0013,COMP-0001,PTY-0015,Amit Gupta Suppliers,Both,2024-04-05,2024-06-25,1213500,10500,6,-55,Active,Unassigned,Mumbai,Maharashtra,2024-06-25 00:00:00,2024-05-01 08:00:00
CMOV-0014,COMP-0001,PTY-0016,Priya Gupta Distributors,Both,2024-04-24,2024-06-16,237000,736800,7,-46,Active,Rajesh Kumar,Surat,Gujarat,2024-06-16 00:00:00,2024-05-01 08:00:00
CMOV-0015,COMP-0002,PTY-0017,Rajesh Singh Suppliers,Customer,2024-05-01,2024-05-01,495000,0,2,0,Active,Amit Shah,Nagpur,Maharashtra,2024-05-01 00:00:00,2024-05-01 08:00:00
CMOV-0016,COMP-0002,PTY-0018,Neha Kumar Traders,Supplier,2024-05-04,2024-06-20,181300,732500,8,-50,Active,Unassigned,Surat,Gujarat,2024-06-20 00:00:00,2024-05-01 08:00:00
CMOV-0017,COMP-0002,PTY-0019,Priya Sharma Distributors,Supplier,2024-05-25,2024-05-25,0,379000,3,-24,Active,Unassigned,Mumbai,Maharashtra,2024-05-25 00:00:00,2024-05-01 08:00:00
CMOV-0018,COMP-0002,PTY-0020,Priya Patel Suppliers,Supplier,2024-06-14,2024-06-14,195000,0,1,-44,Active,Rajesh Kumar,Bangalore,Karnataka,2024-06-14 00:00:00,2024-05-01 08:00:00
CMOV-0019,COMP-0002,PTY-0021,Neha Sharma Suppliers,Customer,2024-04-08,2024-06-10,998000,505000,9,-40,Active,Amit Shah,Mumbai,Maharashtra,2024-06-10 00:00:00,2024-05-01 08:00:00
CMOV-0020,COMP-0002,PTY-0022,Rajesh Kumar Suppliers,Supplier,2024-04-09,2024-05-31,110000,974000,6,-30,Active,Rajesh Kumar,Delhi,Delhi,2024-05-31 00:00:00,2024-05-01 08:00:00
CMOV-0021,COMP-0002,PTY-0023,Amit Patel Distributors,Customer,2024-04-08,2024-04-08,530000,0,3,23,Active,Rajesh Kumar,Delhi,Delhi,2024-04-08 00:00:00,2024-05-01 08:00:00
CMOV-0022,COMP-0002,PTY-0024,Priya Gupta Distributors,Customer,2024-04-10,2024-05-15,77900,1710000,11,-14,Active,Rajesh Kumar,Chennai,Tamil Nadu,2024-05-15 00:00:00,2024-05-01 08:00:00
CMOV-0023,COMP-0002,PTY-0025,Amit Kumar Distributors,Customer,2024-04-09,2024-06-24,1213100,248600,9,-54,Active,Rajesh Kumar,Nagpur,Maharashtra,2024-06-24 00:00:00,2024-05-01 08:00:00
CMOV-0024,COMP-0002,PTY-0026,Neha Gupta Distributors,Customer,2024-06-02,2024-06-02,0,360000,1,-32,Active,Unassigned,Delhi,Delhi,2024-06-02 00:00:00,2024-05-01 08:00:00
CMOV-0025,COMP-0002,PTY-0027,Vikram Kumar Suppliers,Customer,2024-04-08,2024-06-03,855400,515900,9,-33,Active,Rajesh Kumar,Delhi,Delhi,2024-06-03 00:00:00,2024-05-01 08:00:00
CMOV-0026,COMP-0002,PTY-0028,Vikram Patel Suppliers,Customer,2024-05-03,2024-06-04,974600,0,6,-34,Active,Rajesh Kumar,Delhi,Delhi,2024-06-04 00:00:00,2024-05-01 08:00:00
CMOV-0027,COMP-0002,PTY-0029,Neha Sharma Traders,Both,2024-05-05,2024-06-24,999900,0,5,-54,Active,Rajesh Kumar,Coimbatore,Tamil Nadu,2024-06-24 00:00:00,2024-05-01 08:00:00
CMOV-0028,COMP-0002,PTY-0030,Neha Patel Traders,Both,2024-04-01,2024-06-27,2276500,1196000,14,-57,Active,Rajesh Kumar,Delhi,Delhi,2024-06-27 00:00:00,2024-05-01 08:00:00
CMOV-0029,COMP-0002,PTY-0031,Priya Singh Suppliers,Both,2024-04-23,2024-04-24,768000,354000,5,7,Active,Unassigned,Mumbai,Maharashtra,2024-04-24 00:00:00,2024-05-01 08:00:00
CMOV-0030,COMP-0002,PTY-0032,Vikram Patel Traders,Both,2024-04-27,2024-04-27,0,453500,3,4,Active,Unassigned,Mysore,Karnataka,2024-04-27 00:00:00,2024-05-01 08:00:00
CMOV-0031,COMP-0003,PTY-0033,Vikram Kumar Distributors,Customer,2024-04-02,2024-04-02,452700,0,3,29,Active,Rajesh Kumar,Surat,Gujarat,2024-04-02 00:00:00,2024-05-01 08:00:00
CMOV-0032,COMP-0003,PTY-0034,Vikram Singh Distributors,Customer,2024-04-04,2024-04-04,0,522000,3,27,Active,Amit Shah,Ahmedabad,Gujarat,2024-04-04 00:00:00,2024-05-01 08:00:00
CMOV-0033,COMP-0003,PTY-0035,Neha Kumar Traders,Customer,2024-05-26,2024-06-28,21000,110000,3,-58,Active,Amit Shah,Coimbatore,Tamil Nadu,2024-06-28 00:00:00,2024-05-01 08:00:00
CMOV-0034,COMP-0003,PTY-0036,Rajesh Gupta Suppliers,Both,2024-05-14,2024-06-25,4500,854500,4,-55,Active,Amit Shah,Mysore,Karnataka,2024-06-25 00:00:00,2024-05-01 08:00:00
CMOV-0035,COMP-0003,PTY-0037,Vikram Sharma Distributors,Both,2024-05-23,2024-05-23,0,709200,6,-22,Active,Rajesh Kumar,Bangalore,Karnataka,2024-05-23 00:00:00,2024-05-01 08:00:00
CMOV-0036,COMP-0003,PTY-0038,Rajesh Singh Traders,Both,2024-04-29,2024-06-11,54000,990000,6,-41,Active,Amit Shah,Coimbatore,Tamil Nadu,2024-06-11 00:00:00,2024-05-01 08:00:00
CMOV-0037,COMP-0003,PTY-0039,Vikram Kumar Suppliers,Customer,2024-06-03,2024-06-23,1989500,0,5,-53,Active,Unassigned,Delhi,Delhi,2024-06-23 00:00:00,2024-05-01 08:00:00
CMOV-0038,COMP-0003,PTY-0040,Neha Singh Suppliers,Supplier,2024-04-07,2024-06-23,2129000,1589500,14,-53,Active,Rajesh Kumar,Bangalore,Karnataka,2024-06-23 00:00:00,2024-05-01 08:00:00
CMOV-0039,COMP-0003,PTY-0041,Priya Kumar Suppliers,Both,2024-04-27,2024-05-29,194300,266500,6,-28,Active,Amit Shah,Bangalore,Karnataka,2024-05-29 00:00:00,2024-05-01 08:00:00
CMOV-0040,COMP-0003,PTY-0042,Neha Gupta Distributors,Customer,2024-04-29,2024-04-29,28100,0,2,2,Active,Unassigned,Delhi,Delhi,2024-04-29 00:00:00,2024-05-01 08:00:00
CMOV-0041,COMP-0003,PTY-0043,Amit Kumar Suppliers,Supplier,2024-04-15,2024-05-12,515600,0,7,-11,Active,Amit Shah,Chennai,Tamil Nadu,2024-05-12 00:00:00,2024-05-01 08:00:00
CMOV-0042,COMP-0003,PTY-0044,Priya Kumar Distributors,Both,2024-05-13,2024-05-13,5400,0,1,-12,Active,Unassigned,Ahmedabad,Gujarat,2024-05-13 00:00:00,2024-05-01 08:00:00
CMOV-0043,COMP-0003,PTY-0045,Neha Kumar Traders,Customer,2024-05-25,2024-06-26,268500,88500,5,-56,Active,Rajesh Kumar,Nagpur,Maharashtra,2024-06-26 00:00:00,2024-05-01 08:00:00
CMOV-0044,COMP-0003,PTY-0046,Neha Singh Suppliers,Both,2024-04-10,2024-06-20,441200,143000,9,-50,Active,Unassigned,Mysore,Karnataka,2024-06-20 00:00:00,2024-05-01 08:00:00
CMOV-0045,COMP-0003,PTY-0047,Vikram Gupta Suppliers,Supplier,2024-04-15,2024-05-07,210000,457000,4,-6,Active,Rajesh Kumar,Bangalore,Karnataka,2024-05-07 00:00:00,2024-05-01 08:00:00
CMOV-0046,COMP-0003,PTY-0048,Neha Sharma Suppliers,Customer,2024-04-16,2024-05-08,0,566500,6,-7,Active,Amit Shah,Ahmedabad,Gujarat,2024-05-08 00:00:00,2024-05-01 08:00:00
CMOV-0047,COMP-0003,PTY-0049,Vikram Gupta Traders,Customer,2024-05-26,2024-06-17,380000,189100,5,-47,Active,Unassigned,Mysore,Karnataka,2024-06-17 00:00:00,2024-05-01 08:00:00
CMOV-0048,COMP-0004,PTY-0050,Rajesh Kumar Distributors,Customer,2024-04-20,2024-05-28,960200,252000,7,-27,Active,Amit Shah,Chennai,Tamil Nadu,2024-05-28 00:00:00,2024-05-01 08:00:00
CMOV-0049,COMP-0004,PTY-0052,Rajesh Gupta Distributors,Customer,2024-04-12,2024-04-14,3500,256000,3,17,Active,Unassigned,Pune,Maharashtra,2024-04-14 00:00:00,2024-05-01 08:00:00
CMOV-0050,COMP-0004,PTY-0053,Rajesh Gupta Suppliers,Customer,2024-04-10,2024-04-22,80900,875000,5,9,Active,Rajesh Kumar,Ahmedabad,Gujarat,2024-04-22 00:00:00,2024-05-01 08:00:00
CMOV-0051,COMP-0004,PTY-0054,Vikram Patel Suppliers,Customer,2024-04-17,2024-04-17,409500,0,2,14,Active,Rajesh Kumar,Chennai,Tamil Nadu,2024-04-17 00:00:00,2024-05-01 08:00:00
CMOV-0052,COMP-0004,PTY-0055,Priya Patel Distributors,Both,2024-04-21,2024-06-18,973500,393200,6,-48,Active,Amit Shah,Nagpur,Maharashtra,2024-06-18 00:00:00,2024-05-01 08:00:00
CMOV-0053,COMP-0004,PTY-0056,Neha Sharma Suppliers,Both,2024-04-12,2024-05-27,330000,2144800,13,-26,Active,Amit Shah,Delhi,Delhi,2024-05-27 00:00:00,2024-05-01 08:00:00
CMOV-0054,COMP-0004,PTY-0057,Rajesh Kumar Traders,Both,2024-05-29,2024-05-29,642000,0,2,-28,Active,Unassigned,Delhi,Delhi,2024-05-29 00:00:00,2024-05-01 08:00:00
CMOV-0055,COMP-0004,PTY-0058,Neha Kumar Distributors,Both,2024-04-23,2024-06-02,0,1383500,9,-32,Active,Amit Shah,Mysore,Karnataka,2024-06-02 00:00:00,2024-05-01 08:00:00
CMOV-0056,COMP-0004,PTY-0059,Amit Kumar Traders,Supplier,2024-04-26,2024-06-12,1035800,0,7,-42,Active,Amit Shah,Coimbatore,Tamil Nadu,2024-06-12 00:00:00,2024-05-01 08:00:00
CMOV-0057,COMP-0004,PTY-0060,Vikram Singh Traders,Both,2024-04-21,2024-06-11,111800,930000,5,-41,Active,Rajesh Kumar,Delhi,Delhi,2024-06-11 00:00:00,2024-05-01 08:00:00
CMOV-0058,COMP-0004,PTY-0061,Priya Gupta Distributors,Both,2024-04-01,2024-05-30,0,533700,7,-29,Active,Unassigned,Surat,Gujarat,2024-05-30 00:00:00,2024-05-01 08:00:00
CMOV-0059,COMP-0004,PTY-0062,Priya Patel Distributors,Supplier,2024-05-01,2024-06-06,0,248200,4,-36,Active,Amit Shah,Delhi,Delhi,2024-06-06 00:00:00,2024-05-01 08:00:00
CMOV-0060,COMP-0004,PTY-0063,Priya Singh Traders,Customer,2024-04-18,2024-06-28,0,873500,5,-58,Active,Rajesh Kumar,Delhi,Delhi,2024-06-28 00:00:00,2024-05-01 08:00:00
CMOV-0061,COMP-0004,PTY-0064,Amit Patel Distributors,Supplier,2024-04-18,2024-04-18,0,11500,2,13,Active,Rajesh Kumar,Surat,Gujarat,2024-04-18 00:00:00,2024-05-01 08:00:00
CMOV-0062,COMP-0004,PTY-0065,Vikram Patel Traders,Supplier,2024-05-23,2024-06-29,1071300,130500,8,-59,Active,Unassigned,Delhi,Delhi,2024-06-29 00:00:00,2024-05-01 08:00:00
CMOV-0063,COMP-0004,PTY-0066,Vikram Patel Distributors,Customer,2024-04-09,2024-04-22,110000,304000,3,9,Active,Amit Shah,Bangalore,Karnataka,2024-04-22 00:00:00,2024-05-01 08:00:00
CMOV-0064,COMP-0004,PTY-0067,Vikram Kumar Suppliers,Supplier,2024-05-11,2024-05-11,1110000,0,2,-10,Active,Rajesh Kumar,Mumbai,Maharashtra,2024-05-11 00:00:00,2024-05-01 08:00:00
CMOV-0065,COMP-0004,PTY-0068,Neha Singh Distributors,Customer,2024-05-06,2024-06-30,481000,7200,4,-60,Active,Amit Shah,Mumbai,Maharashtra,2024-06-30 00:00:00,2024-05-01 08:00:00
CMOV-0066,COMP-0004,PTY-0069,Priya Kumar Suppliers,Both,2024-04-11,2024-06-07,1643500,0,5,-37,Active,Unassigned,Mysore,Karnataka,2024-06-07 00:00:00,2024-05-01 08:00:00
CMOV-0067,COMP-0004,PTY-0070,Amit Patel Traders,Customer,2024-04-15,2024-06-17,426900,2700,6,-47,Active,Rajesh Kumar,Delhi,Delhi,2024-06-17 00:00:00,2024-05-01 08:00:00
CMOV-0068,COMP-0004,PTY-0071,Neha Kumar Suppliers,Customer,2024-06-16,2024-06-16,350000,0,2,-46,Active,Rajesh Kumar,Delhi,Delhi,2024-06-16 00:00:00,2024-05-01 08:00:00
CMOV-0069,COMP-0004,PTY-0072,Vikram Gupta Distributors,Customer,2024-04-18,2024-04-18,465500,0,2,13,Active,Amit Shah,Surat,Gujarat,2024-04-18 00:00:00,2024-05-01 08:00:00
CMOV-0070,COMP-0005,PTY-0073,Rajesh Sharma Suppliers,Both,2024-05-24,2024-06-26,1280000,589000,5,-56,Active,Amit Shah,Ahmedabad,Gujarat,2024-06-26 00:00:00,2024-05-01 08:00:00
CMOV-0071,COMP-0005,PTY-0074,Priya Singh Suppliers,Both,2024-04-07,2024-04-09,82300,7200,4,22,Active,Amit Shah,Surat,Gujarat,2024-04-09 00:00:00,2024-05-01 08:00:00
CMOV-0072,COMP-0005,PTY-0075,Rajesh Patel Suppliers,Both,2024-05-12,2024-05-12,960000,0,1,-11,Active,Unassigned,Delhi,Delhi,2024-05-12 00:00:00,2024-05-01 08:00:00
CMOV-0073,COMP-0005,PTY-0076,Vikram Singh Distributors,Supplier,2024-04-19,2024-05-15,0,1214000,7,-14,Active,Unassigned,Delhi,Delhi,2024-05-15 00:00:00,2024-05-01 08:00:00
CMOV-0074,COMP-0005,PTY-0077,Amit Gupta Suppliers,Both,2024-04-11,2024-06-23,450000,1175400,5,-53,Active,Amit Shah,Delhi,Delhi,2024-06-23 00:00:00,2024-05-01 08:00:00
CMOV-0075,COMP-0005,PTY-0078,Priya Kumar Distributors,Both,2024-04-27,2024-06-17,456000,2168900,12,-47,Active,Amit Shah,Mumbai,Maharashtra,2024-06-17 00:00:00,2024-05-01 08:00:00
CMOV-0076,COMP-0005,PTY-0079,Neha Kumar Suppliers,Customer,2024-04-13,2024-04-13,165000,0,1,18,Active,Unassigned,Mumbai,Maharashtra,2024-04-13 00:00:00,2024-05-01 08:00:00
CMOV-0077,COMP-0005,PTY-0080,Neha Singh Traders,Supplier,2024-04-21,2024-04-21,0,3600,1,10,Active,Amit Shah,Mysore,Karnataka,2024-04-21 00:00:00,2024-05-01 08:00:00
CMOV-0078,COMP-0005,PTY-0081,Amit Sharma Distributors,Supplier,2024-05-24,2024-05-24,0,15800,2,-23,Active,Amit Shah,Delhi,Delhi,2024-05-24 00:00:00,2024-05-01 08:00:00
CMOV-0079,COMP-0005,PTY-0082,Neha Kumar Suppliers,Both,2024-06-07,2024-06-13,1224900,0,7,-43,Active,Rajesh Kumar,Surat,Gujarat,2024-06-13 00:00:00,2024-05-01 08:00:00
CMOV-0080,COMP-0005,PTY-0083,Amit Patel Suppliers,Customer,2024-04-29,2024-06-04,954000,960000,4,-34,Active,Rajesh Kumar,Coimbatore,Tamil Nadu,2024-06-04 00:00:00,2024-05-01 08:00:00
CMOV-0081,COMP-0005,PTY-0084,Amit Kumar Distributors,Both,2024-05-17,2024-06-19,53500,24700,5,-49,Active,Rajesh Kumar,Mumbai,Maharashtra,2024-06-19 00:00:00,2024-05-01 08:00:00
CMOV-0082,COMP-0005,PTY-0085,Rajesh Patel Suppliers,Customer,2024-06-04,2024-06-04,0,80000,1,-34,Active,Unassigned,Bangalore,Karnataka,2024-06-04 00:00:00,2024-05-01 08:00:00
CMOV-0083,COMP-0005,PTY-0086,Rajesh Singh Distributors,Supplier,2024-04-06,2024-04-06,24500,0,1,25,Active,Unassigned,Coimbatore,Tamil Nadu,2024-04-06 00:00:00,2024-05-01 08:00:00
CMOV-0084,COMP-0005,PTY-0087,Rajesh Patel Traders,Both,2024-05-11,2024-05-30,637200,0,3,-29,Active,Unassigned,Delhi,Delhi,2024-05-30 00:00:00,2024-05-01 08:00:00
CMOV-0085,COMP-0005,PTY-0088,Amit Singh Traders,Supplier,2024-06-04,2024-06-27,476000,23800,6,-57,Active,Rajesh Kumar,Mumbai,Maharashtra,2024-06-27 00:00:00,2024-05-01 08:00:00
CMOV-0086,COMP-0005,PTY-0089,Priya Gupta Traders,Customer,2024-04-21,2024-06-28,1800,396900,4,-58,Active,Amit Shah,Ahmedabad,Gujarat,2024-06-28 00:00:00,2024-05-01 08:00:00
CMOV-0087,COMP-0005,PTY-0090,Neha Patel Suppliers,Both,2024-05-01,2024-06-21,20000,395400,3,-51,Active,Rajesh Kumar,Surat,Gujarat,2024-06-21 00:00:00,2024-05-01 08:00:00
CMOV-0088,COMP-0006,PTY-0092,Amit Patel Distributors,Both,2024-05-03,2024-05-29,0,894500,4,-28,Active,Amit Shah,Coimbatore,Tamil Nadu,2024-05-29 00:00:00,2024-05-01 08:00:00
CMOV-0089,COMP-0006,PTY-0093,Rajesh Singh Suppliers,Both,2024-04-03,2024-06-15,0,218100,6,-45,Active,Amit Shah,Bangalore,Karnataka,2024-06-15 00:00:00,2024-05-01 08:00:00
CMOV-0090,COMP-0006,PTY-0094,Amit Patel Distributors,Both,2024-04-15,2024-06-28,1451500,734000,11,-58,Active,Amit Shah,Surat,Gujarat,2024-06-28 00:00:00,2024-05-01 08:00:00
CMOV-0091,COMP-0006,PTY-0096,Rajesh Kumar Traders,Both,2024-05-10,2024-06-26,2329000,467300,8,-56,Active,Rajesh Kumar,Pune,Maharashtra,2024-06-26 00:00:00,2024-05-01 08:00:00
CMOV-0092,COMP-0006,PTY-0097,Vikram Sharma Distributors,Customer,2024-04-19,2024-06-21,65000,235000,4,-51,Active,Unassigned,Surat,Gujarat,2024-06-21 00:00:00,2024-05-01 08:00:00
CMOV-0093,COMP-0006,PTY-0098,Rajesh Kumar Traders,Customer,2024-04-13,2024-06-18,0,438900,4,-48,Active,Rajesh Kumar,Delhi,Delhi,2024-06-18 00:00:00,2024-05-01 08:00:00
CMOV-0094,COMP-0006,PTY-0099,Amit Gupta Suppliers,Supplier,2024-04-08,2024-06-12,167900,1128000,6,-42,Active,Amit Shah,Surat,Gujarat,2024-06-12 00:00:00,2024-05-01 08:00:00
CMOV-0095,COMP-0006,PTY-0100,Amit Kumar Suppliers,Both,2024-05-09,2024-05-09,720000,0,1,-8,Active,Rajesh Kumar,Pune,Maharashtra,2024-05-09 00:00:00,2024-05-01 08:00:00
CMOV-0096,COMP-0006,PTY-0101,Priya Kumar Distributors,Customer,2024-04-03,2024-06-26,2112500,462700,11,-56,Active,Amit Shah,Surat,Gujarat,2024-06-26 00:00:00,2024-05-01 08:00:00
CMOV-0097,COMP-0006,PTY-0102,Amit Sharma Traders,Both,2024-04-13,2024-06-14,2318600,577600,15,-44,Active,Amit Shah,Bangalore,Karnataka,2024-06-14 00:00:00,2024-05-01 08:00:00
CMOV-0098,COMP-0006,PTY-0103,Amit Gupta Traders,Both,2024-06-14,2024-06-14,424500,0,3,-44,Active,Amit Shah,Ahmedabad,Gujarat,2024-06-14 00:00:00,2024-05-01 08:00:00
CMOV-0099,COMP-0006,PTY-0104,Rajesh Singh Suppliers,Both,2024-04-04,2024-05-24,1026000,0,3,-23,Active,Rajesh Kumar,Ahmedabad,Gujarat,2024-05-24 00:00:00,2024-05-01 08:00:00
CMOV-0100,COMP-0006,PTY-0105,Vikram Patel Traders,Customer,2024-04-01,2024-04-16,418400,390900,6,15,Active,Amit Shah,Coimbatore,Tamil Nadu,2024-04-16 00:00:00,2024-05-01 08:00:00
CMOV-0101,COMP-0006,PTY-0106,Rajesh Kumar Distributors,Both,2024-04-04,2024-05-14,69500,621100,6,-13,Active,Amit Shah,Mysore,Karnataka,2024-05-14 00:00:00,2024-05-01 08:00:00
CMOV-0102,COMP-0006,PTY-0107,Neha Singh Suppliers,Customer,2024-06-07,2024-06-07,0,610000,2,-37,Active,Rajesh Kumar,Bangalore,Karnataka,2024-06-07 00:00:00,2024-05-01 08:00:00
CMOV-0103,COMP-0006,PTY-0108,Priya Sharma Traders,Both,2024-04-06,2024-04-06,26300,0,3,25,Active,Amit Shah,Pune,Maharashtra,2024-04-06 00:00:00,2024-05-01 08:00:00
CMOV-0104,COMP-0006,PTY-0109,Vikram Kumar Distributors,Supplier,2024-06-12,2024-06-17,4500,909500,4,-47,Active,Unassigned,Coimbatore,Tamil Nadu,2024-06-17 00:00:00,2024-05-01 08:00:00
CMOV-0105,COMP-0006,PTY-0111,Priya Singh Distributors,Customer,2024-04-23,2024-04-23,223000,0,2,8,Active,Amit Shah,Delhi,Delhi,2024-04-23 00:00:00,2024-05-01 08:00:00
CMOV-0106,COMP-0007,PTY-0112,Priya Patel Suppliers,Both,2024-05-17,2024-06-08,0,456800,5,-38,Active,Unassigned,Pune,Maharashtra,2024-06-08 00:00:00,2024-05-01 08:00:00
CMOV-0107,COMP-0007,PTY-0113,Neha Gupta Distributors,Both,2024-04-24,2024-04-24,294000,0,1,7,Active,Unassigned,Chennai,Tamil Nadu,2024-04-24 00:00:00,2024-05-01 08:00:00
CMOV-0108,COMP-0007,PTY-0114,Vikram Singh Traders,Customer,2024-05-10,2024-06-23,120400,201600,6,-53,Active,Unassigned,Delhi,Delhi,2024-06-23 00:00:00,2024-05-01 08:00:00
CMOV-0109,COMP-0007,PTY-0115,Rajesh Sharma Suppliers,Supplier,2024-05-22,2024-06-01,1065500,0,3,-31,Active,Amit Shah,Chennai,Tamil Nadu,2024-06-01 00:00:00,2024-05-01 08:00:00
CMOV-0110,COMP-0007,PTY-0116,Neha Gupta Traders,Customer,2024-04-17,2024-06-05,110000,337600,4,-35,Active,Unassigned,Mumbai,Maharashtra,2024-06-05 00:00:00,2024-05-01 08:00:00
CMOV-0111,COMP-0007,PTY-0117,Priya Kumar Suppliers,Supplier,2024-05-18,2024-06-19,1283000,130500,5,-49,Active,Amit Shah,Coimbatore,Tamil Nadu,2024-06-19 00:00:00,2024-05-01 08:00:00
CMOV-0112,COMP-0007,PTY-0118,Vikram Gupta Traders,Customer,2024-05-28,2024-05-28,0,20000,1,-27,Active,Rajesh Kumar,Mysore,Karnataka,2024-05-28 00:00:00,2024-05-01 08:00:00
CMOV-0113,COMP-0007,PTY-0119,Amit Singh Traders,Customer,2024-04-02,2024-04-02,20000,0,1,29,Active,Unassigned,Delhi,Delhi,2024-04-02 00:00:00,2024-05-01 08:00:00
CMOV-0114,COMP-0007,PTY-0120,Amit Gupta Suppliers,Customer,2024-04-28,2024-05-27,435000,355500,5,-26,Active,Rajesh Kumar,Coimbatore,Tamil Nadu,2024-05-27 00:00:00,2024-05-01 08:00:00
CMOV-0115,COMP-0007,PTY-0121,Vikram Gupta Distributors,Both,2024-04-04,2024-06-30,275000,131000,4,-60,Active,Rajesh Kumar,Mysore,Karnataka,2024-06-30 00:00:00,2024-05-01 08:00:00
CMOV-0116,COMP-0007,PTY-0122,Neha Kumar Traders,Supplier,2024-06-17,2024-06-17,249000,0,2,-47,Active,Rajesh Kumar,Delhi,Delhi,2024-06-17 00:00:00,2024-05-01 08:00:00
CMOV-0117,COMP-0007,PTY-0123,Vikram Singh Traders,Customer,2024-04-03,2024-05-12,915000,702700,9,-11,Active,Unassigned,Surat,Gujarat,2024-05-12 00:00:00,2024-05-01 08:00:00
CMOV-0118,COMP-0007,PTY-0124,Vikram Patel Suppliers,Customer,2024-04-21,2024-05-06,168000,763000,4,-5,Active,Unassigned,Ahmedabad,Gujarat,2024-05-06 00:00:00,2024-05-01 08:00:00
CMOV-0119,COMP-0007,PTY-0127,Vikram Kumar Suppliers,Customer,2024-04-04,2024-05-23,2405900,0,7,-22,Active,Rajesh Kumar,Bangalore,Karnataka,2024-05-23 00:00:00,2024-05-01 08:00:00
CMOV-0120,COMP-0007,PTY-0128,Neha Kumar Distributors,Supplier,2024-04-06,2024-04-06,0,84000,1,25,Active,Rajesh Kumar,Bangalore,Karnataka,2024-04-06 00:00:00,2024-05-01 08:00:00
CMOV-0121,COMP-0008,PTY-0129,Vikram Sharma Distributors,Both,2024-04-28,2024-04-28,0,415500,3,3,Active,Rajesh Kumar,Delhi,Delhi,2024-04-28 00:00:00,2024-05-01 08:00:00
CMOV-0122,COMP-0008,PTY-0130,Rajesh Gupta Distributors,Supplier,2024-04-22,2024-06-15,494000,135400,6,-45,Active,Rajesh Kumar,Surat,Gujarat,2024-06-15 00:00:00,2024-05-01 08:00:00
CMOV-0123,COMP-0008,PTY-0131,Vikram Gupta Distributors,Customer,2024-04-13,2024-04-13,785000,0,3,18,Active,Rajesh Kumar,Mysore,Karnataka,2024-04-13 00:00:00,2024-05-01 08:00:00
