OrderID,CompanyID,OrderType,OrderNo,OrderDate,PartyID,ReferenceNo,ItemID,Qty,Rate,Amount,Status,ExpectedDate,Narration,CreatedAt,UpdatedAt,Version
ORD-0022,COMP-0001,Sales Order,SO-000022,2024-06-17,PTY-0015,REF-000022,ITM-0009_COMP-0001,8,1500,12000,Confirmed,2024-07-15,Sales Order for Amit Gupta Suppliers,2024-06-17 00:00:00,2024-06-30 08:00:00,1
ORD-0023,COMP-0001,Purchase Order,PO-000023,2024-06-07,PTY-0009,REF-000023,ITM-0001_COMP-0001,1,45500,45500,Completed,2024-06-26,Purchase Order for Priya Kumar Traders,2024-06-07 00:00:00,2024-06-30 08:00:00,1
ORD-0024,COMP-0001,Purchase Order,PO-000024,2024-04-18,PTY-0013,REF-000024,ITM-0007_COMP-0001,4,7000,28000,Pending,2024-05-13,Purchase Order for Neha Patel Suppliers,2024-04-18 00:00:00,2024-06-30 08:00:00,1
ORD-0025,COMP-0001,Sales Order,SO-000025,2024-04-21,PTY-0006,REF-000025,ITM-0004_COMP-0001,1,120000,120000,Pending,2024-05-04,Sales Order for Amit Singh Suppliers,2024-04-21 00:00:00,2024-06-30 08:00:00,1
ORD-0026,COMP-0001,Sales Order,SO-000026,2024-06-29,PTY-0015,REF-000026,ITM-0004_COMP-0001,4,120000,480000,Completed,2024-07-06,Sales Order for Amit Gupta Suppliers,2024-06-29 00:00:00,2024-06-30 08:00:00,1
ORD-0027,COMP-0001,Sales Order,SO-000027,2024-04-14,PTY-0014,REF-000027,ITM-0005_COMP-0001,1,55000,55000,Confirmed,2024-05-03,Sales Order for Amit Gupta Suppliers,2024-04-14 00:00:00,2024-06-30 08:00:00,1
ORD-0028,COMP-0001,Purchase Order,PO-000028,2024-06-04,PTY-0011,REF-000028,ITM-0009_COMP-0001,8,1050,8400,Confirmed,2024-06-21,Purchase Order for Amit Kumar Suppliers,2024-06-04 00:00:00,2024-06-30 08:00:00,1
ORD-0029,COMP-0001,Purchase Order,PO-000029,2024-06-29,PTY-0011,REF-000029,ITM-0003_COMP-0001,10,29399,293990,Pending,2024-07-18,Purchase Order for Amit Kumar Suppliers,2024-06-29 00:00:00,2024-06-30 08:00:00,1
ORD-0030,COMP-0001,Purchase Order,PO-000030,2024-04-10,PTY-0008,REF-000030,ITM-0007_COMP-0001,10,7000,70000,Cancelled,2024-05-01,Purchase Order for Vikram Sharma Suppliers,2024-04-10 00:00:00,2024-06-30 08:00:00,1
ORD-0031,COMP-0001,Purchase Order,PO-000031,2024-05-15,PTY-0015,REF-000031,ITM-0004_COMP-0001,6,84000,504000,Cancelled,2024-05-24,Purchase Order for Amit Gupta Suppliers,2024-05-15 00:00:00,2024-06-30 08:00:00,1
ORD-0032,COMP-0001,Sales Order,SO-000032,2024-06-13,PTY-0016,REF-000032,ITM-0009_COMP-0001,8,1500,12000,Cancelled,2024-07-12,Sales Order for Priya Gupta Distributors,2024-06-13 00:00:00,2024-06-30 08:00:00,1
ORD-0033,COMP-0001,Sales Order,SO-000033,2024-06-24,PTY-0010,REF-000033,ITM-0006_COMP-0001,7,3500,24500,Cancelled,2024-07-14,Sales Order for Priya Gupta Traders,2024-06-24 00:00:00,2024-06-30 08:00:00,1
ORD-0034,COMP-0001,Sales Order,SO-000034,2024-05-26,PTY-0016,REF-000034,ITM-0004_COMP-0001,9,120000,1080000,Completed,2024-06-24,Sales Order for Priya Gupta Distributors,2024-05-26 00:00:00,2024-06-30 08:00:00,1
ORD-0035,COMP-0001,Purchase Order,PO-000035,2024-05-16,PTY-0009,REF-000035,ITM-0002_COMP-0001,8,38500,308000,Completed,2024-06-12,Purchase Order for Priya Kumar Traders,2024-05-16 00:00:00,2024-06-30 08:00:00,1
ORD-0036,COMP-0002,Purchase Order,PO-000036,2024-05-12,PTY-0018,REF-000036,ITM-0002_COMP-0002,10,38500,385000,Completed,2024-06-07,Purchase Order for Neha Kumar Traders,2024-05-12 00:00:00,2024-06-30 08:00:00,1
ORD-0037,COMP-0002,Purchase Order,PO-000037,2024-04-15,PTY-0020,REF-000037,ITM-0005_COMP-0002,7,38500,269500,Confirmed,2024-05-11,Purchase Order for Priya Patel Suppliers,2024-04-15 00:00:00,2024-06-30 08:00:00,1
ORD-0038,COMP-0002,Purchase Order,PO-000038,2024-05-31,PTY-0020,REF-000038,ITM-0004_COMP-0002,7,84000,588000,Cancelled,2024-06-28,Purchase Order for Priya Patel Suppliers,2024-05-31 00:00:00,2024-06-30 08:00:00,1
ORD-0039,COMP-0002,Sales Order,SO-000039,2024-05-07,PTY-0027,REF-000039,ITM-0009_COMP-0002,6,1500,9000,Completed,2024-05-17,Sales Order for Vikram Kumar Suppliers,2024-05-07 00:00:00,2024-06-30 08:00:00,1
ORD-0040,COMP-0002,Purchase Order,PO-000040,2024-06-15,PTY-0022,REF-000040,ITM-0007_COMP-0002,8,7000,56000,Completed,2024-07-10,Purchase Order for Rajesh Kumar Suppliers,2024-06-15 00:00:00,2024-06-30 08:00:00,1
ORD-0041,COMP-0002,Sales Order,SO-000041,2024-06-17,PTY-0021,REF-000041,ITM-0001_COMP-0002,3,65000,195000,Cancelled,2024-07-14,Sales Order for Neha Sharma Suppliers,2024-06-17 00:00:00,2024-06-30 08:00:00,1
ORD-0042,COMP-0002,Sales Order,SO-000042,2024-06-03,PTY-0030,REF-000042,ITM-0001_COMP-0002,10,65000,650000,Completed,2024-06-20,Sales Order for Neha Patel Traders,2024-06-03 00:00:00,2024-06-30 08:00:00,1
ORD-0043,COMP-0002,Sales Order,SO-000043,2024-06-26,PTY-0017,REF-000043,ITM-0004_COMP-0002,9,120000,1080000,Completed,2024-07-24,Sales Order for Rajesh Singh Suppliers,2024-06-26 00:00:00,2024-06-30 08:00:00,1
ORD-0044,COMP-0002,Sales Order,SO-000044,2024-04-13,PTY-0021,REF-000044,ITM-0006_COMP-0002,2,3500,7000,Pending,2024-05-08,Sales Order for Neha Sharma Suppliers,2024-04-13 00:00:00,2024-06-30 08:00:00,1
ORD-0045,COMP-0002,Purchase Order,PO-000045,2024-05-06,PTY-0031,REF-000045,ITM-0003_COMP-0002,5,29399,146995,Confirmed,2024-06-05,Purchase Order for Priya Singh Suppliers,2024-05-06 00:00:00,2024-06-30 08:00:00,1
ORD-0046,COMP-0002,Sales Order,SO-000046,2024-06-28,PTY-0023,REF-000046,ITM-0001_COMP-0002,2,65000,130000,Confirmed,2024-07-17,Sales Order for Amit Patel Distributors,2024-06-28 00:00:00,2024-06-30 08:00:00,1
ORD-0047,COMP-0002,Sales Order,SO-000047,2024-05-23,PTY-0031,REF-000047,ITM-0004_COMP-0002,10,120000,1200000,Cancelled,2024-06-05,Sales Order for Priya Singh Suppliers,2024-05-23 00:00:00,2024-06-30 08:00:00,1
ORD-0048,COMP-0002,Sales Order,SO-000048,2024-05-16,PTY-0029,REF-000048,ITM-0003_COMP-0002,5,42000,210000,Completed,2024-05-29,Sales Order for Neha Sharma Traders,2024-05-16 00:00:00,2024-06-30 08:00:00,1
ORD-0049,COMP-0002,Sales Order,SO-000049,2024-05-20,PTY-0026,REF-000049,ITM-0004_COMP-0002,9,120000,1080000,Cancelled,2024-05-29,Sales Order for Neha Gupta Distributors,2024-05-20 00:00:00,2024-06-30 08:00:00,1
ORD-0050,COMP-0002,Sales Order,SO-000050,2024-04-02,PTY-0017,REF-000050,ITM-0008_COMP-0002,6,900,5400,Cancelled,2024-04-19,Sales Order for Rajesh Singh Suppliers,2024-04-02 00:00:00,2024-06-30 08:00:00,1
ORD-0051,COMP-0002,Purchase Order,PO-000051,2024-06-16,PTY-0019,REF-000051,ITM-0005_COMP-0002,3,38500,115500,Pending,2024-06-24,Purchase Order for Priya Sharma Distributors,2024-06-16 00:00:00,2024-06-30 08:00:00,1
ORD-0052,COMP-0002,Purchase Order,PO-000052,2024-05-07,PTY-0022,REF-000052,ITM-0006_COMP-0002,1,2450,2450,Confirmed,2024-05-29,Purchase Order for Rajesh Kumar Suppliers,2024-05-07 00:00:00,2024-06-30 08:00:00,1
ORD-0053,COMP-0002,Sales Order,SO-000053,2024-04-02,PTY-0032,REF-000053,ITM-0004_COMP-0002,3,120000,360000,Pending,2024-04-25,Sales Order for Vikram Patel Traders,2024-04-02 00:00:00,2024-06-30 08:00:00,1
ORD-0054,COMP-0002,Purchase Order,PO-000054,2024-06-14,PTY-0018,REF-000054,ITM-0003_COMP-0002,5,29399,146995,Pending,2024-06-29,Purchase Order for Neha Kumar Traders,2024-06-14 00:00:00,2024-06-30 08:00:00,1
ORD-0055,COMP-0002,Sales Order,SO-000055,2024-04-26,PTY-0017,REF-000055,ITM-0001_COMP-0002,8,65000,520000,Pending,2024-05-18,Sales Order for Rajesh Singh Suppliers,2024-04-26 00:00:00,2024-06-30 08:00:00,1
ORD-0056,COMP-0002,Sales Order,SO-000056,2024-06-11,PTY-0024,REF-000056,ITM-0006_COMP-0002,4,3500,14000,Completed,2024-06-22,Sales Order for Priya Gupta Distributors,2024-06-11 00:00:00,2024-06-30 08:00:00,1
ORD-0057,COMP-0002,Purchase Order,PO-000057,2024-06-02,PTY-0022,REF-000057,ITM-0008_COMP-0002,7,630,4410,Confirmed,2024-06-20,Purchase Order for Rajesh Kumar Suppliers,2024-06-02 00:00:00,2024-06-30 08:00:00,1
ORD-0058,COMP-0002,Purchase Order,PO-000058,2024-05-27,PTY-0019,REF-000058,ITM-0008_COMP-0002,3,630,1890,Confirmed,2024-06-17,Purchase Order for Priya Sharma Distributors,2024-05-27 00:00:00,2024-06-30 08:00:00,1
ORD-0059,COMP-0002,Purchase Order,PO-000059,2024-04-29,PTY-0030,REF-000059,ITM-0005_COMP-0002,9,38500,346500,Confirmed,2024-05-09,Purchase Order for Neha Patel Traders,2024-04-29 00:00:00,2024-06-30 08:00:00,1
ORD-0060,COMP-0003,Purchase Order,PO-000060,2024-04-24,PTY-0044,REF-000060,ITM-0007_COMP-0003,2,7000,14000,Completed,2024-05-11,Purchase Order for Priya Kumar Distributors,2024-04-24 00:00:00,2024-06-30 08:00:00,1
ORD-0061,COMP-0003,Sales Order,SO-000061,2024-05-02,PTY-0048,REF-000061,ITM-0003_COMP-0003,10,42000,420000,Confirmed,2024-05-17,Sales Order for Neha Sharma Suppliers,2024-05-02 00:00:00,2024-06-30 08:00:00,1
ORD-0062,COMP-0003,Sales Order,SO-000062,2024-06-30,PTY-0049,REF-000062,ITM-0003_COMP-0003,2,42000,84000,Pending,2024-07-18,Sales Order for Vikram Gupta Traders,2024-06-30 00:00:00,2024-06-30 08:00:00,1
ORD-0063,COMP-0003,Sales Order,SO-000063,2024-06-22,PTY-0036,REF-000063,ITM-0005_COMP-0003,4,55000,220000,Confirmed,2024-07-19,Sales Order for Rajesh Gupta Suppliers,2024-06-22 00:00:00,2024-06-30 08:00:00,1
ORD-0064,COMP-0003,Purchase Order,PO-000064,2024-04-07,PTY-0038,REF-000064,ITM-0008_COMP-0003,10,630,6300,Completed,2024-05-07,Purchase Order for Rajesh Singh Traders,2024-04-07 00:00:00,2024-06-30 08:00:00,1
ORD-0065,COMP-0003,Purchase Order,PO-000065,2024-06-18,PTY-0047,REF-000065,ITM-0003_COMP-0003,5,29399,146995,Completed,2024-07-09,Purchase Order for Vikram Gupta Suppliers,2024-06-18 00:00:00,2024-06-30 08:00:00,1
ORD-0066,COMP-0003,Sales Order,SO-000066,2024-04-28,PTY-0049,REF-000066,ITM-0003_COMP-0003,10,42000,420000,Completed,2024-05-24,Sales Order for Vikram Gupta Traders,2024-04-28 00:00:00,2024-06-30 08:00:00,1
ORD-0067,COMP-0003,Purchase Order,PO-000067,2024-04-29,PTY-0037,REF-000067,ITM-0002_COMP-0003,3,38500,115500,Confirmed,2024-05-20,Purchase Order for Vikram Sharma Distributors,2024-04-29 00:00:00,2024-06-30 08:00:00,1
ORD-0068,COMP-0003,Purchase Order,PO-000068,2024-05-02,PTY-0043,REF-000068,ITM-0008_COMP-0003,2,630,1260,Completed,2024-05-18,Purchase Order for Amit Kumar Suppliers,2024-05-02 00:00:00,2024-06-30 08:00:00,1
ORD-0069,COMP-0003,Sales Order,SO-000069,2024-04-11,PTY-0039,REF-000069,ITM-0003_COMP-0003,3,42000,126000,Completed,2024-04-19,Sales Order for Vikram Kumar Suppliers,2024-04-11 00:00:00,2024-06-30 08:00:00,1
ORD-0070,COMP-0003,Purchase Order,PO-000070,2024-06-30,PTY-0043,REF-000070,ITM-0002_COMP-0003,1,38500,38500,Completed,2024-07-07,Purchase Order for Amit Kumar Suppliers,2024-06-30 00:00:00,2024-06-30 08:00:00,1
ORD-0071,COMP-0003,Sales Order,SO-000071,2024-05-03,PTY-0039,REF-000071,ITM-0005_COMP-0003,4,55000,220000,Confirmed,2024-05-22,Sales Order for Vikram Kumar Suppliers,2024-05-03 00:00:00,2024-06-30 08:00:00,1
ORD-0072,COMP-0003,Sales Order,SO-000072,2024-05-03,PTY-0049,REF-000072,ITM-0003_COMP-0003,10,42000,420000,Completed,2024-05-23,Sales Order for Vikram Gupta Traders,2024-05-03 00:00:00,2024-06-30 08:00:00,1
ORD-0073,COMP-0003,Sales Order,SO-000073,2024-05-03,PTY-0035,REF-000073,ITM-0001_COMP-0003,1,65000,65000,Completed,2024-05-24,Sales Order for Neha Kumar Traders,2024-05-03 00:00:00,2024-06-30 08:00:00,1
ORD-0074,COMP-0003,Purchase Order,PO-000074,2024-04-22,PTY-0044,REF-000074,ITM-0009_COMP-0003,4,1050,4200,Confirmed,2024-05-09,Purchase Order for Priya Kumar Distributors,2024-04-22 00:00:00,2024-06-30 08:00:00,1
ORD-0075,COMP-0003,Sales Order,SO-000075,2024-06-05,PTY-0049,REF-000075,ITM-0009_COMP-0003,8,1500,12000,Confirmed,2024-06-29,Sales Order for Vikram Gupta Traders,2024-06-05 00:00:00,2024-06-30 08:00:00,1
ORD-0076,COMP-0003,Sales Order,SO-000076,2024-06-01,PTY-0033,REF-000076,ITM-0004_COMP-0003,4,120000,480000,Completed,2024-06-25,Sales Order for Vikram Kumar Distributors,2024-06-01 00:00:00,2024-06-30 08:00:00,1
ORD-0077,COMP-0003,Sales Order,SO-000077,2024-04-28,PTY-0033,REF-000077,ITM-0001_COMP-0003,10,65000,650000,Completed,2024-05-06,Sales Order for Vikram Kumar Distributors,2024-04-28 00:00:00,2024-06-30 08:00:00,1
ORD-0078,COMP-0003,Purchase Order,PO-000078,2024-06-25,PTY-0040,REF-000078,ITM-0003_COMP-0003,6,29399,176394,Completed,2024-07-18,Purchase Order for Neha Singh Suppliers,2024-06-25 00:00:00,2024-06-30 08:00:00,1
ORD-0079,COMP-0003,Purchase Order,PO-000079,2024-05-25,PTY-0046,REF-000079,ITM-0006_COMP-0003,5,2450,12250,Confirmed,2024-06-13,Purchase Order for Neha Singh Suppliers,2024-05-25 00:00:00,2024-06-30 08:00:00,1
ORD-0080,COMP-0003,Sales Order,SO-000080,2024-05-23,PTY-0041,REF-000080,ITM-0003_COMP-0003,9,42000,378000,Confirmed,2024-06-20,Sales Order for Priya Kumar Suppliers,2024-05-23 00:00:00,2024-06-30 08:00:00,1
ORD-0081,COMP-0003,Sales Order,SO-000081,2024-05-30,PTY-0036,REF-000081,ITM-0005_COMP-0003,5,55000,275000,Completed,2024-06-19,Sales Order for Rajesh Gupta Suppliers,2024-05-30 00:00:00,2024-06-30 08:00:00,1
ORD-0082,COMP-0003,Sales Order,SO-000082,2024-04-29,PTY-0046,REF-000082,ITM-0005_COMP-0003,7,55000,385000,Completed,2024-05-17,Sales Order for Neha Singh Suppliers,2024-04-29 00:00:00,2024-06-30 08:00:00,1
ORD-0083,COMP-0004,Purchase Order,PO-000083,2024-06-07,PTY-0069,REF-000083,ITM-0002_COMP-0004,6,38500,231000,Completed,2024-06-23,Purchase Order for Priya Kumar Suppliers,2024-06-07 00:00:00,2024-06-30 08:00:00,1
ORD-0084,COMP-0004,Purchase Order,PO-000084,2024-04-26,PTY-0055,REF-000084,ITM-0008_COMP-0004,6,630,3780,Confirmed,2024-05-18,Purchase Order for Priya Patel Distributors,2024-04-26 00:00:00,2024-06-30 08:00:00,1
ORD-0085,COMP-0004,Purchase Order,PO-000085,2024-04-09,PTY-0055,REF-000085,ITM-0008_COMP-0004,7,630,4410,Completed,2024-05-04,Purchase Order for Priya Patel Distributors,2024-04-09 00:00:00,2024-06-30 08:00:00,1
ORD-0086,COMP-0004,Purchase Order,PO-000086,2024-05-16,PTY-0064,REF-000086,ITM-0007_COMP-0004,6,7000,42000,Pending,2024-06-05,Purchase Order for Amit Patel Distributors,2024-05-16 00:00:00,2024-06-30 08:00:00,1
ORD-0087,COMP-0004,Sales Order,SO-000087,2024-06-21,PTY-0058,REF-000087,ITM-0008_COMP-0004,6,900,5400,Confirmed,2024-07-02,Sales Order for Neha Kumar Distributors,2024-06-21 00:00:00,2024-06-30 08:00:00,1
ORD-0088,COMP-0004,Purchase Order,PO-000088,2024-05-21,PTY-0062,REF-000088,ITM-0005_COMP-0004,3,38500,115500,Pending,2024-05-30,Purchase Order for Priya Patel Distributors,2024-05-21 00:00:00,2024-06-30 08:00:00,1
ORD-0089,COMP-0004,Sales Order,SO-000089,2024-04-21,PTY-0055,REF-000089,ITM-0006_COMP-0004,2,3500,7000,Confirmed,2024-05-21,Sales Order for Priya Patel Distributors,2024-04-21 00:00:00,2024-06-30 08:00:00,1
ORD-0090,COMP-0004,Purchase Order,PO-000090,2024-05-16,PTY-0064,REF-000090,ITM-0006_COMP-0004,4,2450,9800,Completed,2024-06-06,Purchase Order for Amit Patel Distributors,2024-05-16 00:00:00,2024-06-30 08:00:00,1
ORD-0091,COMP-0004,Purchase Order,PO-000091,2024-04-30,PTY-0060,REF-000091,ITM-0007_COMP-0004,1,7000,7000,Pending,2024-05-15,Purchase Order for Vikram Singh Traders,2024-04-30 00:00:00,2024-06-30 08:00:00,1
ORD-0092,COMP-0004,Purchase Order,PO-000092,2024-04-19,PTY-0058,REF-000092,ITM-0004_COMP-0004,1,84000,84000,Completed,2024-05-01,Purchase Order for Neha Kumar Distributors,2024-04-19 00:00:00,2024-06-30 08:00:00,1
ORD-0093,COMP-0004,Sales Order,SO-000093,2024-05-31,PTY-0053,REF-000093,ITM-0004_COMP-0004,8,120000,960000,Confirmed,2024-06-11,Sales Order for Rajesh Gupta Suppliers,2024-05-31 00:00:00,2024-06-30 08:00:00,1
ORD-0094,COMP-0004,Sales Order,SO-000094,2024-06-11,PTY-0054,REF-000094,ITM-0001_COMP-0004,10,65000,650000,Confirmed,2024-06-24,Sales Order for Vikram Patel Suppliers,2024-06-11 00:00:00,2024-06-30 08:00:00,1
ORD-0095,COMP-0004,Purchase Order,PO-000095,2024-04-20,PTY-0065,REF-000095,ITM-0004_COMP-0004,10,84000,840000,Confirmed,2024-05-01,Purchase Order for Vikram Patel Traders,2024-04-20 00:00:00,2024-06-30 08:00:00,1
ORD-0096,COMP-0004,Purchase Order,PO-000096,2024-06-21,PTY-0051,REF-000096,ITM-0002_COMP-0004,5,38500,192500,Confirmed,2024-07-16,Purchase Order for Vikram Patel Suppliers,2024-06-21 00:00:00,2024-06-30 08:00:00,1
ORD-0097,COMP-0004,Purchase Order,PO-000097,2024-04-18,PTY-0051,REF-000097,ITM-0008_COMP-0004,7,630,4410,Completed,2024-05-16,Purchase Order for Vikram Patel Suppliers,2024-04-18 00:00:00,2024-06-30 08:00:00,1
ORD-0098,COMP-0004,Purchase Order,PO-000098,2024-06-15,PTY-0057,REF-000098,ITM-0001_COMP-0004,9,45500,409500,Completed,2024-07-06,Purchase Order for Rajesh Kumar Traders,2024-06-15 00:00:00,2024-06-30 08:00:00,1
ORD-0099,COMP-0004,Purchase Order,PO-000099,2024-04-28,PTY-0069,REF-000099,ITM-0008_COMP-0004,7,630,4410,Completed,2024-05-19,Purchase Order for Priya Kumar Suppliers,2024-04-28 00:00:00,2024-06-30 08:00:00,1
ORD-0100,COMP-0004,Sales Order,SO-000100,2024-04-04,PTY-0070,REF-000100,ITM-0009_COMP-0004,3,1500,4500,Confirmed,2024-04-20,Sales Order for Amit Patel Traders,2024-04-04 00:00:00,2024-06-30 08:00:00,1
ORD-0101,COMP-0004,Purchase Order,PO-000101,2024-05-26,PTY-0060,REF-000101,ITM-0005_COMP-0004,9,38500,346500,Confirmed,2024-06-09,Purchase Order for Vikram Singh Traders,2024-05-26 00:00:00,2024-06-30 08:00:00,1
ORD-0102,COMP-0004,Sales Order,SO-000102,2024-06-27,PTY-0061,REF-000102,ITM-0004_COMP-0004,9,120000,1080000,Completed,2024-07-17,Sales Order for Priya Gupta Distributors,2024-06-27 00:00:00,2024-06-30 08:00:00,1
ORD-0103,COMP-0004,Purchase Order,PO-000103,2024-06-27,PTY-0067,REF-000103,ITM-0001_COMP-0004,9,45500,409500,Confirmed,2024-07-14,Purchase Order for Vikram Kumar Suppliers,2024-06-27 00:00:00,2024-06-30 08:00:00,1
ORD-0104,COMP-0004,Purchase Order,PO-000104,2024-04-24,PTY-0069,REF-000104,ITM-0007_COMP-0004,3,7000,21000,Completed,2024-05-19,Purchase Order for Priya Kumar Suppliers,2024-04-24 00:00:00,2024-06-30 08:00:00,1
ORD-0105,COMP-0004,Purchase Order,PO-000105,2024-04-24,PTY-0060,REF-000105,ITM-0003_COMP-0004,4,29399,117596,Confirmed,2024-05-05,Purchase Order for Vikram Singh Traders,2024-04-24 00:00:00,2024-06-30 08:00:00,1
ORD-0106,COMP-0004,Purchase Order,PO-000106,2024-04-21,PTY-0057,REF-000106,ITM-0005_COMP-0004,7,38500,269500,Completed,2024-05-15,Purchase Order for Rajesh Kumar Traders,2024-04-21 00:00:00,2024-06-30 08:00:00,1
ORD-0107,COMP-0004,Sales Order,SO-000107,2024-06-17,PTY-0071,REF-000107,ITM-0001_COMP-0004,5,65000,325000,Confirmed,2024-07-08,Sales Order for Neha Kumar Suppliers,2024-06-17 00:00:00,2024-06-30 08:00:00,1
ORD-0108,COMP-0004,Sales Order,SO-000108,2024-06-26,PTY-0060,REF-000108,ITM-0005_COMP-0004,7,55000,385000,Confirmed,2024-07-16,Sales Order for Vikram Singh Traders,2024-06-26 00:00:00,2024-06-30 08:00:00,1
