LogID,CompanyID,ReminderType,ReferenceID,Message,Status,SentAt,CreatedAt
REM-0040,COMP-0005,LowStock,REF-0040,Low stock alert for items below reorder level - REF-0040,Pending,2024-06-27 00:00:00,2024-06-27 00:00:00
REM-0041,COMP-0005,ExpiryAlert,REF-0041,Expiry alert for batch items nearing expiry - REF-0041,Pending,2024-04-24 00:00:00,2024-04-24 00:00:00
REM-0042,COMP-0005,ExpiryAlert,REF-0042,Expiry alert for batch items nearing expiry - REF-0042,Pending,2024-05-12 00:00:00,2024-05-12 00:00:00
REM-0043,COMP-0005,PaymentDue,REF-0043,Payment reminder for outstanding invoices - REF-0043,Sent,2024-04-21 00:00:00,2024-04-21 00:00:00
REM-0044,COMP-0005,LowStock,REF-0044,Low stock alert for items below reorder level - REF-0044,Pending,2024-04-16 00:00:00,2024-04-16 00:00:00
REM-0045,COMP-0006,LowStock,REF-0045,Low stock alert for items below reorder level - REF-0045,Sent,2024-05-20 00:00:00,2024-05-20 00:00:00
REM-0046,COMP-0006,LowStock,REF-0046,Low stock alert for items below reorder level - REF-0046,Failed,2024-06-24 00:00:00,2024-06-24 00:00:00
REM-0047,COMP-0006,PaymentDue,REF-0047,Payment reminder for outstanding invoices - REF-0047,Pending,2024-05-07 00:00:00,2024-05-07 00:00:00
REM-0048,COMP-0006,CustomerInactive,REF-0048,Customer inactivity alert - REF-0048,Sent,2024-04-11 00:00:00,2024-04-11 00:00:00
REM-0049,COMP-0006,ExpiryAlert,REF-0049,Expiry alert for batch items nearing expiry - REF-0049,Sent,2024-06-25 00:00:00,2024-06-25 00:00:00
REM-0050,COMP-0006,CustomerInactive,REF-0050,Customer inactivity alert - REF-0050,Pending,2024-05-06 00:00:00,2024-05-06 00:00:00
REM-0051,COMP-0006,ExpiryAlert,REF-0051,Expiry alert for batch items nearing expiry - REF-0051,Pending,2024-04-08 00:00:00,2024-04-08 00:00:00
REM-0052,COMP-0006,PaymentDue,REF-0052,Payment reminder for outstanding invoices - REF-0052,Failed,2024-05-31 00:00:00,2024-05-31 00:00:00
REM-0053,COMP-0006,PaymentDue,REF-0053,Payment reminder for outstanding invoices - REF-0053,Pending,2024-06-24 00:00:00,2024-06-24 00:00:00
REM-0054,COMP-0007,PaymentDue,REF-0054,Payment reminder for outstanding invoices - REF-0054,Sent,2024-05-02 00:00:00,2024-05-02 00:00:00
REM-0055,COMP-0007,ExpiryAlert,REF-0055,Expiry alert for batch items nearing expiry - REF-0055,Sent,2024-05-27 00:00:00,2024-05-27 00:00:00
REM-0056,COMP-0007,LowStock,REF-0056,Low stock alert for items below reorder level - REF-0056,Pending,2024-05-21 00:00:00,2024-05-21 00:00:00
REM-0057,COMP-0007,PaymentDue,REF-0057,Payment reminder for outstanding invoices - REF-0057,Pending,2024-04-18 00:00:00,2024-04-18 00:00:00
REM-0058,COMP-0007,PaymentDue,REF-0058,Payment reminder for outstanding invoices - REF-0058,Failed,2024-06-20 00:00:00,2024-06-20 00:00:00
REM-0059,COMP-0008,LowStock,REF-0059,Low stock alert for items below reorder level - REF-0059,Sent,2024-04-01 00:00:00,2024-04-01 00:00:00
REM-0060,COMP-0008,PaymentDue,REF-0060,Payment reminder for outstanding invoices - REF-0060,Pending,2024-05-08 00:00:00,2024-05-08 00:00:00
REM-0061,COMP-0008,CustomerInactive,REF-0061,Customer inactivity alert - REF-0061,Sent,2024-05-14 00:00:00,2024-05-14 00:00:00
REM-0062,COMP-0008,PaymentDue,REF-0062,Payment reminder for outstanding invoices - REF-0062,Failed,2024-05-20 00:00:00,2024-05-20 00:00:00
REM-0063,COMP-0008,CustomerInactive,REF-0063,Customer inactivity alert - REF-0063,Pending,2024-05-14 00:00:00,2024-05-14 00:00:00
REM-0064,COMP-0008,PaymentDue,REF-0064,Payment reminder for outstanding invoices - REF-0064,Failed,2024-06-25 00:00:00,2024-06-25 00:00:00
REM-0065,COMP-0008,ExpiryAlert,REF-0065,Expiry alert for batch items nearing expiry - REF-0065,Sent,2024-05-13 00:00:00,2024-05-13 00:00:00
REM-0066,COMP-0009,LowStock,REF-0066,Low stock alert for items below reorder level - REF-0066,Pending,2024-04-28 00:00:00,2024-04-28 00:00:00
REM-0067,COMP-0009,ExpiryAlert,REF-0067,Expiry alert for batch items nearing expiry - REF-0067,Failed,2024-05-21 00:00:00,2024-05-21 00:00:00
REM-0068,COMP-0009,LowStock,REF-0068,Low stock alert for items below reorder level - REF-0068,Failed,2024-04-02 00:00:00,2024-04-02 00:00:00
REM-0069,COMP-0009,PaymentDue,REF-0069,Payment reminder for outstanding invoices - REF-0069,Pending,2024-05-14 00:00:00,2024-05-14 00:00:00
REM-0070,COMP-0009,ExpiryAlert,REF-0070,Expiry alert for batch items nearing expiry - REF-0070,Failed,2024-05-26 00:00:00,2024-05-26 00:00:00
REM-0071,COMP-0009,CustomerInactive,REF-0071,Customer inactivity alert - REF-0071,Failed,2024-04-15 00:00:00,2024-04-15 00:00:00
REM-0072,COMP-0009,PaymentDue,REF-0072,Payment reminder for outstanding invoices - REF-0072,Failed,2024-06-18 00:00:00,2024-06-18 00:00:00
REM-0073,COMP-0009,CustomerInactive,REF-0073,Customer inactivity alert - REF-0073,Failed,2024-05-18 00:00:00,2024-05-18 00:00:00
REM-0074,COMP-0010,PaymentDue,REF-0074,Payment reminder for outstanding invoices - REF-0074,Failed,2024-06-12 00:00:00,2024-06-12 00:00:00
REM-0075,COMP-0010,LowStock,REF-0075,Low stock alert for items below reorder level - REF-0075,Failed,2024-05-13 00:00:00,2024-05-13 00:00:00
REM-0076,COMP-0010,LowStock,REF-0076,Low stock alert for items below reorder level - REF-0076,Sent,2024-05-09 00:00:00,2024-05-09 00:00:00
REM-0077,COMP-0010,PaymentDue,REF-0077,Payment reminder for outstanding invoices - REF-0077,Failed,2024-04-11 00:00:00,2024-04-11 00:00:00
REM-0078,COMP-0010,PaymentDue,REF-0078,Payment reminder for outstanding invoices - REF-0078,Failed,2024-06-27 00:00:00,2024-06-27 00:00:00
REM-0079,COMP-0010,LowStock,REF-0079,Low stock alert for items below reorder level - REF-0079,Failed,2024-05-07 00:00:00,2024-05-07 00:00:00
REM-0080,COMP-0010,ExpiryAlert,REF-0080,Expiry alert for batch items nearing expiry - REF-0080,Failed,2024-06-14 00:00:00,2024-06-14 00:00:00
REM-0081,COMP-0011,PaymentDue,REF-0081,Payment reminder for outstanding invoices - REF-0081,Pending,2024-05-08 00:00:00,2024-05-08 00:00:00
REM-0082,COMP-0011,PaymentDue,REF-0082,Payment reminder for outstanding invoices - REF-0082,Sent,2024-04-01 00:00:00,2024-04-01 00:00:00
REM-0083,COMP-0011,ExpiryAlert,REF-0083,Expiry alert for batch items nearing expiry - REF-0083,Failed,2024-06-05 00:00:00,2024-06-05 00:00:00
REM-0084,COMP-0011,CustomerInactive,REF-0084,Customer inactivity alert - REF-0084,Failed,2024-06-30 00:00:00,2024-06-30 00:00:00
REM-0085,COMP-0011,LowStock,REF-0085,Low stock alert for items below reorder level - REF-0085,Failed,2024-06-14 00:00:00,2024-06-14 00:00:00
REM-0086,COMP-0011,ExpiryAlert,REF-0086,Expiry alert for batch items nearing expiry - REF-0086,Sent,2024-04-16 00:00:00,2024-04-16 00:00:00
REM-0087,COMP-0012,LowStock,REF-0087,Low stock alert for items below reorder level - REF-0087,Sent,2024-05-12 00:00:00,2024-05-12 00:00:00
REM-0088,COMP-0012,LowStock,REF-0088,Low stock alert for items below reorder level - REF-0088,Failed,2024-04-16 00:00:00,2024-04-16 00:00:00
REM-0089,COMP-0012,PaymentDue,REF-0089,Payment reminder for outstanding invoices - REF-0089,Pending,2024-04-04 00:00:00,2024-04-04 00:00:00
REM-0090,COMP-0012,PaymentDue,REF-0090,Payment reminder for outstanding invoices - REF-0090,Sent,2024-05-09 00:00:00,2024-05-09 00:00:00
REM-0091,COMP-0012,ExpiryAlert,REF-0091,Expiry alert for batch items nearing expiry - REF-0091,Failed,2024-04-07 00:00:00,2024-04-07 00:00:00
REM-0092,COMP-0012,CustomerInactive,REF-0092,Customer inactivity alert - REF-0092,Failed,2024-05-10 00:00:00,2024-05-10 00:00:00
REM-0093,COMP-0012,CustomerInactive,REF-0093,Customer inactivity alert - REF-0093,Pending,2024-06-04 00:00:00,2024-06-04 00:00:00
REM-0094,COMP-0012,ExpiryAlert,REF-0094,Expiry alert for batch items nearing expiry - REF-0094,Failed,2024-05-17 00:00:00,2024-05-17 00:00:00
REM-0095,COMP-0012,LowStock,REF-0095,Low stock alert for items below reorder level - REF-0095,Pending,2024-04-10 00:00:00,2024-04-10 00:00:00
REM-0096,COMP-0012,PaymentDue,REF-0096,Payment reminder for outstanding invoices - REF-0096,Sent,2024-04-24 00:00:00,2024-04-24 00:00:00
REM-0097,COMP-0012,CustomerInactive,REF-0097,Customer inactivity alert - REF-0097,Pending,2024-06-24 00:00:00,2024-06-24 00:00:00
REM-0098,COMP-0013,PaymentDue,REF-0098,Payment reminder for outstanding invoices - REF-0098,Pending,2024-05-12 00:00:00,2024-05-12 00:00:00
REM-0099,COMP-0013,ExpiryAlert,REF-0099,Expiry alert for batch items nearing expiry - REF-0099,Failed,2024-05-10 00:00:00,2024-05-10 00:00:00
REM-0100,COMP-0013,PaymentDue,REF-0100,Payment reminder for outstanding invoices - REF-0100,Pending,2024-06-21 00:00:00,2024-06-21 00:00:00
REM-0101,COMP-0013,LowStock,REF-0101,Low stock alert for items below reorder level - REF-0101,Failed,2024-04-25 00:00:00,2024-04-25 00:00:00
REM-0102,COMP-0013,PaymentDue,REF-0102,Payment reminder for outstanding invoices - REF-0102,Sent,2024-04-15 00:00:00,2024-04-15 00:00:00
REM-0103,COMP-0013,LowStock,REF-0103,Low stock alert for items below reorder level - REF-0103,Sent,2024-04-13 00:00:00,2024-04-13 00:00:00
REM-0104,COMP-0013,ExpiryAlert,REF-0104,Expiry alert for batch items nearing expiry - REF-0104,Sent,2024-06-06 00:00:00,2024-06-06 00:00:00
REM-0105,COMP-0013,PaymentDue,REF-0105,Payment reminder for outstanding invoices - REF-0105,Pending,2024-04-28 00:00:00,2024-04-28 00:00:00
REM-0106,COMP-0013,LowStock,REF-0106,Low stock alert for items below reorder level - REF-0106,Sent,2024-05-22 00:00:00,2024-05-22 00:00:00
REM-0107,COMP-0013,LowStock,REF-0107,Low stock alert for items below reorder level - REF-0107,Failed,2024-05-08 00:00:00,2024-05-08 00:00:00
REM-0108,COMP-0013,PaymentDue,REF-0108,Payment reminder for outstanding invoices - REF-0108,Failed,2024-05-03 00:00:00,2024-05-03 00:00:00
REM-0109,COMP-0013,LowStock,REF-0109,Low stock alert for items below reorder level - REF-0109,Failed,2024-04-17 00:00:00,2024-04-17 00:00:00
REM-0110,COMP-0013,CustomerInactive,REF-0110,Customer inactivity alert - REF-0110,Sent,2024-05-03 00:00:00,2024-05-03 00:00:00
REM-0111,COMP-0013,CustomerInactive,REF-0111,Customer inactivity alert - REF-0111,Sent,2024-05-21 00:00:00,2024-05-21 00:00:00
REM-0112,COMP-0013,LowStock,REF-0112,Low stock alert for items below reorder level - REF-0112,Sent,2024-06-20 00:00:00,2024-06-20 00:00:00
REM-0113,COMP-0014,ExpiryAlert,REF-0113,Expiry alert for batch items nearing expiry - REF-0113,Sent,2024-04-18 00:00:00,2024-04-18 00:00:00
REM-0114,COMP-0014,LowStock,REF-0114,Low stock alert for items below reorder level - REF-0114,Sent,2024-05-03 00:00:00,2024-05-03 00:00:00
REM-0115,COMP-0014,CustomerInactive,REF-0115,Customer inactivity alert - REF-0115,Pending,2024-06-08 00:00:00,2024-06-08 00:00:00
REM-0116,COMP-0014,CustomerInactive,REF-0116,Customer inactivity alert - REF-0116,Pending,2024-04-06 00:00:00,2024-04-06 00:00:00
REM-0117,COMP-0014,PaymentDue,REF-0117,Payment reminder for outstanding invoices - REF-0117,Pending,2024-05-20 00:00:00,2024-05-20 00:00:00
REM-0118,COMP-0015,LowStock,REF-0118,Low stock alert for items below reorder level - REF-0118,Failed,2024-06-19 00:00:00,2024-06-19 00:00:00
REM-0119,COMP-0015,CustomerInactive,REF-0119,Customer inactivity alert - REF-0119,Failed,2024-06-21 00:00:00,2024-06-21 00:00:00
REM-0120,COMP-0015,CustomerInactive,REF-0120,Customer inactivity alert - REF-0120,Failed,2024-06-30 00:00:00,2024-06-30 00:00:00
REM-0121,COMP-0015,CustomerInactive,REF-0121,Customer inactivity alert - REF-0121,Pending,2024-05-21 00:00:00,2024-05-21 00:00:00
REM-0122,COMP-0015,CustomerInactive,REF-0122,Customer inactivity alert - REF-0122,Pending,2024-04-07 00:00:00,2024-04-07 00:00:00
REM-0123,COMP-0015,PaymentDue,REF-0123,Payment reminder for outstanding invoices - REF-0123,Sent,2024-04-18 00:00:00,2024-04-18 00:00:00
REM-0124,COMP-0015,ExpiryAlert,REF-0124,Expiry alert for batch items nearing expiry - REF-0124,Sent,2024-05-28 00:00:00,2024-05-28 00:00:00
REM-0125,COMP-0016,PaymentDue,REF-0125,Payment reminder for outstanding invoices - REF-0125,Sent,2024-06-28 00:00:00,2024-06-28 00:00:00
REM-0126,COMP-0016,LowStock,REF-0126,Low stock alert for items below reorder level - REF-0126,Failed,2024-05-01 00:00:00,2024-05-01 00:00:00
REM-0127,COMP-0016,ExpiryAlert,REF-0127,Expiry alert for batch items nearing expiry - REF-0127,Sent,2024-04-05 00:00:00,2024-04-05 00:00:00
REM-0128,COMP-0016,CustomerInactive,REF-0128,Customer inactivity alert - REF-0128,Sent,2024-04-03 00:00:00,2024-04-03 00:00:00
REM-0129,COMP-0016,CustomerInactive,REF-0129,Customer inactivity alert - REF-0129,Sent,2024-05-07 00:00:00,2024-05-07 00:00:00
REM-0130,COMP-0016,ExpiryAlert,REF-0130,Expiry alert for batch items nearing expiry - REF-0130,Sent,2024-05-15 00:00:00,2024-05-15 00:00:00
REM-0131,COMP-0016,ExpiryAlert,REF-0131,Expiry alert for batch items nearing expiry - REF-0131,Pending,2024-05-26 00:00:00,2024-05-26 00:00:00
REM-0132,COMP-0016,CustomerInactive,REF-0132,Customer inactivity alert - REF-0132,Failed,2024-04-09 00:00:00,2024-04-09 00:00:00
REM-0133,COMP-0016,LowStock,REF-0133,Low stock alert for items below reorder level - REF-0133,Failed,2024-06-25 00:00:00,2024-06-25 00:00:00
REM-0134,COMP-0017,CustomerInactive,REF-0134,Customer inactivity alert - REF-0134,Failed,2024-06-02 00:00:00,2024-06-02 00:00:00
REM-0135,COMP-0017,LowStock,REF-0135,Low stock alert for items below reorder level - REF-0135,Failed,2024-06-30 00:00:00,2024-06-30 00:00:00
REM-0136,COMP-0017,ExpiryAlert,REF-0136,Expiry alert for batch items nearing expiry - REF-0136,Failed,2024-06-10 00:00:00,2024-06-10 00:00:00
REM-0137,COMP-0017,LowStock,REF-0137,Low stock alert for items below reorder level - REF-0137,Failed,2024-04-24 00:00:00,2024-04-24 00:00:00
REM-0138,COMP-0017,PaymentDue,REF-0138,Payment reminder for outstanding invoices - REF-0138,Failed,2024-06-24 00:00:00,2024-06-24 00:00:00
REM-0139,COMP-0017,LowStock,REF-0139,Low stock alert for items below reorder level - REF-0139,Pending,2024-04-22 00:00:00,2024-04-22 00:00:00
REM-0140,COMP-0017,LowStock,REF-0140,Low stock alert for items below reorder level - REF-0140,Failed,2024-06-22 00:00:00,2024-06-22 00:00:00
REM-0141,COMP-0018,CustomerInactive,REF-0141,Customer inactivity alert - REF-0141,Failed,2024-04-22 00:00:00,2024-04-22 00:00:00
REM-0142,COMP-0018,CustomerInactive,REF-0142,Customer inactivity alert - REF-0142,Failed,2024-06-23 00:00:00,2024-06-23 00:00:00
REM-0143,COMP-0018,CustomerInactive,REF-0143,Customer inactivity alert - REF-0143,Failed,2024-04-03 00:00:00,2024-04-03 00:00:00
REM-0144,COMP-0018,ExpiryAlert,REF-0144,Expiry alert for batch items nearing expiry - REF-0144,Sent,2024-04-06 00:00:00,2024-04-06 00:00:00
REM-0145,COMP-0018,LowStock,REF-0145,Low stock alert for items below reorder level - REF-0145,Pending,2024-06-23 00:00:00,2024-06-23 00:00:00
REM-0146,COMP-0018,LowStock,REF-0146,Low stock alert for items below reorder level - REF-0146,Sent,2024-05-29 00:00:00,2024-05-29 00:00:00
REM-0147,COMP-0018,ExpiryAlert,REF-0147,Expiry alert for batch items nearing expiry - REF-0147,Failed,2024-06-06 00:00:00,2024-06-06 00:00:00
REM-0148,COMP-0018,PaymentDue,REF-0148,Payment reminder for outstanding invoices - REF-0148,Sent,2024-05-01 00:00:00,2024-05-01 00:00:00
REM-0149,COMP-0018,LowStock,REF-0149,Low stock alert for items below reorder level - REF-0149,Failed,2024-05-25 00:00:00,2024-05-25 00:00:00
REM-0150,COMP-0018,LowStock,REF-0150,Low stock alert for items below reorder level - REF-0150,Pending,2024-04-11 00:00:00,2024-04-11 00:00:00
REM-0151,COMP-0018,ExpiryAlert,REF-0151,Expiry alert for batch items nearing expiry - REF-0151,Failed,2024-05-02 00:00:00,2024-05-02 00:00:00
REM-0152,COMP-0018,PaymentDue,REF-0152,Payment reminder for outstanding invoices - REF-0152,Pending,2024-05-30 00:00:00,2024-05-30 00:00:00
REM-0153,COMP-0018,CustomerInactive,REF-0153,Customer inactivity alert - REF-0153,Failed,2024-04-01 00:00:00,2024-04-01 00:00:00
REM-0154,COMP-0018,CustomerInactive,REF-0154,Customer inactivity alert - REF-0154,Pending,2024-04-01 00:00:00,2024-04-01 00:00:00
REM-0155,COMP-0018,PaymentDue,REF-0155,Payment reminder for outstanding invoices - REF-0155,Failed,2024-05-18 00:00:00,2024-05-18 00:00:00
REM-0156,COMP-0019,ExpiryAlert,REF-0156,Expiry alert for batch items nearing expiry - REF-0156,Failed,2024-06-10 00:00:00,2024-06-10 00:00:00
REM-0157,COMP-0019,CustomerInactive,REF-0157,Customer inactivity alert - REF-0157,Sent,2024-05-07 00:00:00,2024-05-07 00:00:00
REM-0158,COMP-0019,CustomerInactive,REF-0158,Customer inactivity alert - REF-0158,Pending,2024-05-15 00:00:00,2024-05-15 00:00:00
REM-0159,COMP-0019,CustomerInactive,REF-0159,Customer inactivity alert - REF-0159,Failed,2024-06-04 00:00:00,2024-06-04 00:00:00
REM-0160,COMP-0019,LowStock,REF-0160,Low stock alert for items below reorder level - REF-0160,Sent,2024-05-24 00:00:00,2024-05-24 00:00:00
REM-0161,COMP-0019,PaymentDue,REF-0161,Payment reminder for outstanding invoices - REF-0161,Pending,2024-05-01 00:00:00,2024-05-01 00:00:00
REM-0162,COMP-0019,ExpiryAlert,REF-0162,Expiry alert for batch items nearing expiry - REF-0162,Sent,2024-06-14 00:00:00,2024-06-14 00:00:00
REM-0163,COMP-0019,ExpiryAlert,REF-0163,Expiry alert for batch items nearing expiry - REF-0163,Failed,2024-06-18 00:00:00,2024-06-18 00:00:00
REM-0164,COMP-0019,ExpiryAlert,REF-0164,Expiry alert for batch items nearing expiry - REF-0164,Pending,2024-05-06 00:00:00,2024-05-06 00:00:00
REM-0165,COMP-0019,LowStock,REF-0165,Low stock alert for items below reorder level - REF-0165,Pending,2024-04-22 00:00:00,2024-04-22 00:00:00
REM-0166,COMP-0019,ExpiryAlert,REF-0166,Expiry alert for batch items nearing expiry - REF-0166,Pending,2024-06-14 00:00:00,2024-06-14 00:00:00
REM-0167,COMP-0019,LowStock,REF-0167,Low stock alert for items below reorder level - REF-0167,Sent,2024-04-13 00:00:00,2024-04-13 00:00:00
REM-0168,COMP-0019,PaymentDue,REF-0168,Payment reminder for outstanding invoices - REF-0168,Failed,2024-06-30 00:00:00,2024-06-30 00:00:00
REM-0169,COMP-0020,PaymentDue,REF-0169,Payment reminder for outstanding invoices - REF-0169,Pending,2024-06-18 00:00:00,2024-06-18 00:00:00
REM-0170,COMP-0020,PaymentDue,REF-0170,Payment reminder for outstanding invoices - REF-0170,Failed,2024-05-08 00:00:00,2024-05-08 00:00:00
REM-0171,COMP-0020,LowStock,REF-0171,Low stock alert for items below reorder level - REF-0171,Failed,2024-05-23 00:00:00,2024-05-23 00:00:00
REM-0172,COMP-0020,ExpiryAlert,REF-0172,Expiry alert for batch items nearing expiry - REF-0172,Sent,2024-06-28 00:00:00,2024-06-28 00:00:00
REM-0173,COMP-0020,PaymentDue,REF-0173,Payment reminder for outstanding invoices - REF-0173,Sent,2024-06-30 00:00:00,2024-06-30 00:00:00
REM-0174,COMP-0020,CustomerInactive,REF-0174,Customer inactivity alert - REF-0174,Pending,2024-06-16 00:00:00,2024-06-16 00:00:00
REM-0175,COMP-0020,ExpiryAlert,REF-0175,Expiry alert for batch items nearing expiry - REF-0175,Sent,2024-05-10 00:00:00,2024-05-10 00:00:00
REM-0176,COMP-0020,LowStock,REF-0176,Low stock alert for items below reorder level - REF-0176,Pending,2024-06-26 00:00:00,2024-06-26 00:00:00
REM-0177,COMP-0020,CustomerInactive,REF-0177,Customer inactivity alert - REF-0177,Pending,2024-04-30 00:00:00,2024-04-30 00:00:00
REM-0178,COMP-0020,PaymentDue,REF-0178,Payment reminder for outstanding invoices - REF-0178,Pending,2024-06-17 00:00:00,2024-06-17 00:00:00
REM-0179,COMP-0021,PaymentDue,REF-0179,Payment reminder for outstanding invoices - REF-0179,Pending,2024-05-03 00:00:00,2024-05-03 00:00:00
REM-0180,COMP-0021,CustomerInactive,REF-0180,Customer inactivity alert - REF-0180,Sent,2024-05-01 00:00:00,2024-05-01 00:00:00
REM-0181,COMP-0021,LowStock,REF-0181,Low stock alert for items below reorder level - REF-0181,Pending,2024-04-19 00:00:00,2024-04-19 00:00:00
REM-0182,COMP-0021,CustomerInactive,REF-0182,Customer inactivity alert - REF-0182,Failed,2024-04-18 00:00:00,2024-04-18 00:00:00
