BatchID,CompanyID,ItemID,BatchNo,Quantity,InwardDate,MfgDate,ExpDate,Rate,Value,AgeingDays,AgeingBucket,Location,CreatedAt,UpdatedAt
BAT-0016,COMP-0004,ITM-0003_COMP-0004,BTH-2024-0016,28,2024-04-29,2024-01-01,2025-12-31,29399,823172,2,0-30,Warehouse-B,2024-04-29 00:00:00,2024-05-01 08:00:00
BAT-0017,COMP-0004,ITM-0004_COMP-0004,BTH-2024-0017,17,2024-04-22,2024-01-01,2025-12-31,84000,1428000,9,0-30,Warehouse-A,2024-04-22 00:00:00,2024-05-01 08:00:00
BAT-0018,COMP-0004,ITM-0005_COMP-0004,BTH-2024-0018,27,2024-04-10,2024-01-01,2025-12-31,38500,1039500,21,0-30,Warehouse-C,2024-04-10 00:00:00,2024-05-01 08:00:00
BAT-0019,COMP-0004,ITM-0006_COMP-0004,BTH-2024-0019,20,2024-03-09,2024-01-01,2025-12-31,2450,49000,53,31-60,Warehouse-C,2024-03-09 00:00:00,2024-05-01 08:00:00
BAT-0020,COMP-0004,ITM-0009_COMP-0004,BTH-2024-0020,6,2024-03-09,2024-01-01,2025-12-31,1050,6300,53,31-60,Warehouse-B,2024-03-09 00:00:00,2024-05-01 08:00:00
BAT-0021,COMP-0005,ITM-0003_COMP-0005,BTH-2024-0021,9,2024-04-14,2024-01-01,2025-12-31,29399,264591,17,0-30,Warehouse-B,2024-04-14 00:00:00,2024-05-01 08:00:00
BAT-0022,COMP-0005,ITM-0004_COMP-0005,BTH-2024-0022,21,2024-04-15,2024-01-01,2025-12-31,84000,1764000,16,0-30,Warehouse-B,2024-04-15 00:00:00,2024-05-01 08:00:00
BAT-0023,COMP-0005,ITM-0005_COMP-0005,BTH-2024-0023,16,2024-04-22,2024-01-01,2025-12-31,38500,616000,9,0-30,Warehouse-B,2024-04-22 00:00:00,2024-05-01 08:00:00
BAT-0024,COMP-0005,ITM-0006_COMP-0005,BTH-2024-0024,19,2024-03-27,2024-01-01,2025-12-31,2450,46550,35,31-60,Warehouse-B,2024-03-27 00:00:00,2024-05-01 08:00:00
BAT-0025,COMP-0005,ITM-0009_COMP-0005,BTH-2024-0025,25,2024-04-17,2024-01-01,2025-12-31,1050,26250,14,0-30,Warehouse-C,2024-04-17 00:00:00,2024-05-01 08:00:00
BAT-0026,COMP-0006,ITM-0003_COMP-0006,BTH-2024-0026,5,2024-04-25,2024-01-01,2025-12-31,29399,146995,6,0-30,Warehouse-A,2024-04-25 00:00:00,2024-05-01 08:00:00
BAT-0027,COMP-0006,ITM-0004_COMP-0006,BTH-2024-0027,20,2024-04-13,2024-01-01,2025-12-31,84000,1680000,18,0-30,Warehouse-C,2024-04-13 00:00:00,2024-05-01 08:00:00
BAT-0028,COMP-0006,ITM-0005_COMP-0006,BTH-2024-0028,15,2024-03-30,2024-01-01,2025-12-31,38500,577500,32,31-60,Warehouse-B,2024-03-30 00:00:00,2024-05-01 08:00:00
BAT-0029,COMP-0006,ITM-0006_COMP-0006,BTH-2024-0029,15,2024-04-25,2024-01-01,2025-12-31,2450,36750,6,0-30,Warehouse-A,2024-04-25 00:00:00,2024-05-01 08:00:00
BAT-0030,COMP-0006,ITM-0009_COMP-0006,BTH-2024-0030,9,2024-04-05,2024-01-01,2025-12-31,1050,9450,26,0-30,Warehouse-B,2024-04-05 00:00:00,2024-05-01 08:00:00
BAT-0031,COMP-0007,ITM-0003_COMP-0007,BTH-2024-0031,14,2024-03-18,2024-01-01,2025-12-31,29399,411586,44,31-60,Warehouse-C,2024-03-18 00:00:00,2024-05-01 08:00:00
BAT-0032,COMP-0007,ITM-0004_COMP-0007,BTH-2024-0032,17,2024-04-17,2024-01-01,2025-12-31,84000,1428000,14,0-30,Warehouse-A,2024-04-17 00:00:00,2024-05-01 08:00:00
BAT-0033,COMP-0007,ITM-0005_COMP-0007,BTH-2024-0033,19,2024-03-01,2024-01-01,2025-12-31,38500,731500,61,31-60,Warehouse-A,2024-03-01 00:00:00,2024-05-01 08:00:00
BAT-0034,COMP-0007,ITM-0006_COMP-0007,BTH-2024-0034,24,2024-04-05,2024-01-01,2025-12-31,2450,58800,26,0-30,Warehouse-B,2024-04-05 00:00:00,2024-05-01 08:00:00
BAT-0035,COMP-0007,ITM-0009_COMP-0007,BTH-2024-0035,5,2024-04-19,2024-01-01,2025-12-31,1050,5250,12,0-30,Warehouse-B,2024-04-19 00:00:00,2024-05-01 08:00:00
BAT-0036,COMP-0008,ITM-0003_COMP-0008,BTH-2024-0036,16,2024-03-24,2024-01-01,2025-12-31,29399,470384,38,31-60,Warehouse-A,2024-03-24 00:00:00,2024-05-01 08:00:00
BAT-0037,COMP-0008,ITM-0004_COMP-0008,BTH-2024-0037,9,2024-03-05,2024-01-01,2025-12-31,84000,756000,57,31-60,Warehouse-C,2024-03-05 00:00:00,2024-05-01 08:00:00
BAT-0038,COMP-0008,ITM-0005_COMP-0008,BTH-2024-0038,26,2024-04-06,2024-01-01,2025-12-31,38500,1001000,25,0-30,Warehouse-C,2024-04-06 00:00:00,2024-05-01 08:00:00
BAT-0039,COMP-0008,ITM-0006_COMP-0008,BTH-2024-0039,13,2024-04-14,2024-01-01,2025-12-31,2450,31850,17,0-30,Warehouse-A,2024-04-14 00:00:00,2024-05-01 08:00:00
BAT-0040,COMP-0008,ITM-0009_COMP-0008,BTH-2024-0040,8,2024-03-20,2024-01-01,2025-12-31,1050,8400,42,31-60,Warehouse-A,2024-03-20 00:00:00,2024-05-01 08:00:00
BAT-0041,COMP-0009,ITM-0003_COMP-0009,BTH-2024-0041,12,2024-04-18,2024-01-01,2025-12-31,29399,352788,13,0-30,Warehouse-B,2024-04-18 00:00:00,2024-05-01 08:00:00
BAT-0042,COMP-0009,ITM-0004_COMP-0009,BTH-2024-0042,29,2024-04-03,2024-01-01,2025-12-31,84000,2436000,28,0-30,Warehouse-C,2024-04-03 00:00:00,2024-05-01 08:00:00
BAT-0043,COMP-0009,ITM-0005_COMP-0009,BTH-2024-0043,15,2024-04-11,2024-01-01,2025-12-31,38500,577500,20,0-30,Warehouse-B,2024-04-11 00:00:00,2024-05-01 08:00:00
BAT-0044,COMP-0009,ITM-0006_COMP-0009,BTH-2024-0044,23,2024-04-12,2024-01-01,2025-12-31,2450,56350,19,0-30,Warehouse-A,2024-04-12 00:00:00,2024-05-01 08:00:00
BAT-0045,COMP-0009,ITM-0009_COMP-0009,BTH-2024-0045,13,2024-03-31,2024-01-01,2025-12-31,1050,13650,31,31-60,Warehouse-B,2024-03-31 00:00:00,2024-05-01 08:00:00
BAT-0046,COMP-0010,ITM-0003_COMP-0010,BTH-2024-0046,15,2024-03-24,2024-01-01,2025-12-31,29399,440985,38,31-60,Warehouse-C,2024-03-24 00:00:00,2024-05-01 08:00:00
BAT-0047,COMP-0010,ITM-0004_COMP-0010,BTH-2024-0047,28,2024-03-20,2024-01-01,2025-12-31,84000,2352000,42,31-60,Warehouse-A,2024-03-20 00:00:00,2024-05-01 08:00:00
BAT-0048,COMP-0010,ITM-0005_COMP-0010,BTH-2024-0048,13,2024-04-09,2024-01-01,2025-12-31,38500,500500,22,0-30,Warehouse-C,2024-04-09 00:00:00,2024-05-01 08:00:00
BAT-0049,COMP-0010,ITM-0006_COMP-0010,BTH-2024-0049,30,2024-04-11,2024-01-01,2025-12-31,2450,73500,20,0-30,Warehouse-A,2024-04-11 00:00:00,2024-05-01 08:00:00
BAT-0050,COMP-0010,ITM-0009_COMP-0010,BTH-2024-0050,11,2024-04-15,2024-01-01,2025-12-31,1050,11550,16,0-30,Warehouse-B,2024-04-15 00:00:00,2024-05-01 08:00:00
BAT-0051,COMP-0011,ITM-0003_COMP-0011,BTH-2024-0051,9,2024-04-30,2024-01-01,2025-12-31,29399,264591,1,0-30,Warehouse-A,2024-04-30 00:00:00,2024-05-01 08:00:00
BAT-0052,COMP-0011,ITM-0004_COMP-0011,BTH-2024-0052,5,2024-04-16,2024-01-01,2025-12-31,84000,420000,15,0-30,Warehouse-C,2024-04-16 00:00:00,2024-05-01 08:00:00
BAT-0053,COMP-0011,ITM-0005_COMP-0011,BTH-2024-0053,23,2024-04-23,2024-01-01,2025-12-31,38500,885500,8,0-30,Warehouse-C,2024-04-23 00:00:00,2024-05-01 08:00:00
BAT-0054,COMP-0011,ITM-0006_COMP-0011,BTH-2024-0054,29,2024-03-18,2024-01-01,2025-12-31,2450,71050,44,31-60,Warehouse-C,2024-03-18 00:00:00,2024-05-01 08:00:00
BAT-0055,COMP-0011,ITM-0009_COMP-0011,BTH-2024-0055,6,2024-04-09,2024-01-01,2025-12-31,1050,6300,22,0-30,Warehouse-A,2024-04-09 00:00:00,2024-05-01 08:00:00
BAT-0056,COMP-0012,ITM-0003_COMP-0012,BTH-2024-0056,26,2024-03-04,2024-01-01,2025-12-31,29399,764374,58,31-60,Warehouse-B,2024-03-04 00:00:00,2024-05-01 08:00:00
BAT-0057,COMP-0012,ITM-0004_COMP-0012,BTH-2024-0057,8,2024-03-04,2024-01-01,2025-12-31,84000,672000,58,31-60,Warehouse-C,2024-03-04 00:00:00,2024-05-01 08:00:00
BAT-0058,COMP-0012,ITM-0005_COMP-0012,BTH-2024-0058,15,2024-03-08,2024-01-01,2025-12-31,38500,577500,54,31-60,Warehouse-A,2024-03-08 00:00:00,2024-05-01 08:00:00
BAT-0059,COMP-0012,ITM-0006_COMP-0012,BTH-2024-0059,13,2024-04-11,2024-01-01,2025-12-31,2450,31850,20,0-30,Warehouse-C,2024-04-11 00:00:00,2024-05-01 08:00:00
BAT-0060,COMP-0012,ITM-0009_COMP-0012,BTH-2024-0060,19,2024-03-30,2024-01-01,2025-12-31,1050,19950,32,31-60,Warehouse-A,2024-03-30 00:00:00,2024-05-01 08:00:00
BAT-0061,COMP-0013,ITM-0003_COMP-0013,BTH-2024-0061,9,2024-03-31,2024-01-01,2025-12-31,29399,264591,31,31-60,Warehouse-A,2024-03-31 00:00:00,2024-05-01 08:00:00
BAT-0062,COMP-0013,ITM-0004_COMP-0013,BTH-2024-0062,16,2024-03-12,2024-01-01,2025-12-31,84000,1344000,50,31-60,Warehouse-B,2024-03-12 00:00:00,2024-05-01 08:00:00
BAT-0063,COMP-0013,ITM-0005_COMP-0013,BTH-2024-0063,16,2024-04-30,2024-01-01,2025-12-31,38500,616000,1,0-30,Warehouse-B,2024-04-30 00:00:00,2024-05-01 08:00:00
BAT-0064,COMP-0013,ITM-0006_COMP-0013,BTH-2024-0064,21,2024-03-30,2024-01-01,2025-12-31,2450,51450,32,31-60,Warehouse-B,2024-03-30 00:00:00,2024-05-01 08:00:00
BAT-0065,COMP-0013,ITM-0009_COMP-0013,BTH-2024-0065,17,2024-03-22,2024-01-01,2025-12-31,1050,17850,40,31-60,Warehouse-B,2024-03-22 00:00:00,2024-05-01 08:00:00
BAT-0066,COMP-0014,ITM-0003_COMP-0014,BTH-2024-0066,15,2024-04-04,2024-01-01,2025-12-31,29399,440985,27,0-30,Warehouse-B,2024-04-04 00:00:00,2024-05-01 08:00:00
BAT-0067,COMP-0014,ITM-0004_COMP-0014,BTH-2024-0067,25,2024-04-26,2024-01-01,2025-12-31,84000,2100000,5,0-30,Warehouse-A,2024-04-26 00:00:00,2024-05-01 08:00:00
BAT-0068,COMP-0014,ITM-0005_COMP-0014,BTH-2024-0068,19,2024-03-24,2024-01-01,2025-12-31,38500,731500,38,31-60,Warehouse-A,2024-03-24 00:00:00,2024-05-01 08:00:00
BAT-0069,COMP-0014,ITM-0006_COMP-0014,BTH-2024-0069,24,2024-03-14,2024-01-01,2025-12-31,2450,58800,48,31-60,Warehouse-A,2024-03-14 00:00:00,2024-05-01 08:00:00
BAT-0070,COMP-0014,ITM-0009_COMP-0014,BTH-2024-0070,15,2024-04-12,2024-01-01,2025-12-31,1050,15750,19,0-30,Warehouse-C,2024-04-12 00:00:00,2024-05-01 08:00:00
BAT-0071,COMP-0015,ITM-0003_COMP-0015,BTH-2024-0071,14,2024-04-08,2024-01-01,2025-12-31,29399,411586,23,0-30,Warehouse-C,2024-04-08 00:00:00,2024-05-01 08:00:00
BAT-0072,COMP-0015,ITM-0004_COMP-0015,BTH-2024-0072,20,2024-04-23,2024-01-01,2025-12-31,84000,1680000,8,0-30,Warehouse-A,2024-04-23 00:00:00,2024-05-01 08:00:00
BAT-0073,COMP-0015,ITM-0005_COMP-0015,BTH-2024-0073,21,2024-03-24,2024-01-01,2025-12-31,38500,808500,38,31-60,Warehouse-A,2024-03-24 00:00:00,2024-05-01 08:00:00
BAT-0074,COMP-0015,ITM-0006_COMP-0015,BTH-2024-0074,25,2024-03-07,2024-01-01,2025-12-31,2450,61250,55,31-60,Warehouse-A,2024-03-07 00:00:00,2024-05-01 08:00:00
BAT-0075,COMP-0015,ITM-0009_COMP-0015,BTH-2024-0075,17,2024-03-27,2024-01-01,2025-12-31,1050,17850,35,31-60,Warehouse-A,2024-03-27 00:00:00,2024-05-01 08:00:00
BAT-0076,COMP-0016,ITM-0003_COMP-0016,BTH-2024-0076,28,2024-03-14,2024-01-01,2025-12-31,29399,823172,48,31-60,Warehouse-B,2024-03-14 00:00:00,2024-05-01 08:00:00
BAT-0077,COMP-0016,ITM-0004_COMP-0016,BTH-2024-0077,25,2024-04-17,2024-01-01,2025-12-31,84000,2100000,14,0-30,Warehouse-A,2024-04-17 00:00:00,2024-05-01 08:00:00
BAT-0078,COMP-0016,ITM-0005_COMP-0016,BTH-2024-0078,25,2024-04-20,2024-01-01,2025-12-31,38500,962500,11,0-30,Warehouse-B,2024-04-20 00:00:00,2024-05-01 08:00:00
BAT-0079,COMP-0016,ITM-0006_COMP-0016,BTH-2024-0079,19,2024-03-20,2024-01-01,2025-12-31,2450,46550,42,31-60,Warehouse-B,2024-03-20 00:00:00,2024-05-01 08:00:00
BAT-0080,COMP-0016,ITM-0009_COMP-0016,BTH-2024-0080,14,2024-03-01,2024-01-01,2025-12-31,1050,14700,61,31-60,Warehouse-A,2024-03-01 00:00:00,2024-05-01 08:00:00
BAT-0081,COMP-0017,ITM-0003_COMP-0017,BTH-2024-0081,26,2024-04-01,2024-01-01,2025-12-31,29399,764374,30,0-30,Warehouse-C,2024-04-01 00:00:00,2024-05-01 08:00:00
BAT-0082,COMP-0017,ITM-0004_COMP-0017,BTH-2024-0082,20,2024-04-07,2024-01-01,2025-12-31,84000,1680000,24,0-30,Warehouse-C,2024-04-07 00:00:00,2024-05-01 08:00:00
BAT-0083,COMP-0017,ITM-0005_COMP-0017,BTH-2024-0083,30,2024-04-16,2024-01-01,2025-12-31,38500,1155000,15,0-30,Warehouse-B,2024-04-16 00:00:00,2024-05-01 08:00:00
BAT-0084,COMP-0017,ITM-0006_COMP-0017,BTH-2024-0084,27,2024-04-21,2024-01-01,2025-12-31,2450,66150,10,0-30,Warehouse-A,2024-04-21 00:00:00,2024-05-01 08:00:00
BAT-0085,COMP-0017,ITM-0009_COMP-0017,BTH-2024-0085,14,2024-03-16,2024-01-01,2025-12-31,1050,14700,46,31-60,Warehouse-C,2024-03-16 00:00:00,2024-05-01 08:00:00
BAT-0086,COMP-0018,ITM-0003_COMP-0018,BTH-2024-0086,29,2024-04-15,2024-01-01,2025-12-31,29399,852571,16,0-30,Warehouse-C,2024-04-15 00:00:00,2024-05-01 08:00:00
BAT-0087,COMP-0018,ITM-0004_COMP-0018,BTH-2024-0087,6,2024-03-26,2024-01-01,2025-12-31,84000,504000,36,31-60,Warehouse-B,2024-03-26 00:00:00,2024-05-01 08:00:00
BAT-0088,COMP-0018,ITM-0005_COMP-0018,BTH-2024-0088,19,2024-03-08,2024-01-01,2025-12-31,38500,731500,54,31-60,Warehouse-C,2024-03-08 00:00:00,2024-05-01 08:00:00
BAT-0089,COMP-0018,ITM-0006_COMP-0018,BTH-2024-0089,11,2024-03-02,2024-01-01,2025-12-31,2450,26950,60,31-60,Warehouse-B,2024-03-02 00:00:00,2024-05-01 08:00:00
BAT-0090,COMP-0018,ITM-0009_COMP-0018,BTH-2024-0090,17,2024-04-08,2024-01-01,2025-12-31,1050,17850,23,0-30,Warehouse-A,2024-04-08 00:00:00,2024-05-01 08:00:00
BAT-0091,COMP-0019,ITM-0003_COMP-0019,BTH-2024-0091,17,2024-04-30,2024-01-01,2025-12-31,29399,499783,1,0-30,Warehouse-A,2024-04-30 00:00:00,2024-05-01 08:00:00
BAT-0092,COMP-0019,ITM-0004_COMP-0019,BTH-2024-0092,23,2024-03-30,2024-01-01,2025-12-31,84000,1932000,32,31-60,Warehouse-C,2024-03-30 00:00:00,2024-05-01 08:00:00
BAT-0093,COMP-0019,ITM-0005_COMP-0019,BTH-2024-0093,25,2024-04-20,2024-01-01,2025-12-31,38500,962500,11,0-30,Warehouse-C,2024-04-20 00:00:00,2024-05-01 08:00:00
BAT-0094,COMP-0019,ITM-0006_COMP-0019,BTH-2024-0094,23,2024-03-18,2024-01-01,2025-12-31,2450,56350,44,31-60,Warehouse-C,2024-03-18 00:00:00,2024-05-01 08:00:00
BAT-0095,COMP-0019,ITM-0009_COMP-0019,BTH-2024-0095,20,2024-03-03,2024-01-01,2025-12-31,1050,21000,59,31-60,Warehouse-B,2024-03-03 00:00:00,2024-05-01 08:00:00
BAT-0096,COMP-0020,ITM-0003_COMP-0020,BTH-2024-0096,8,2024-03-10,2024-01-01,2025-12-31,29399,235192,52,31-60,Warehouse-C,2024-03-10 00:00:00,2024-05-01 08:00:00
BAT-0097,COMP-0020,ITM-0004_COMP-0020,BTH-2024-0097,30,2024-04-17,2024-01-01,2025-12-31,84000,2520000,14,0-30,Warehouse-A,2024-04-17 00:00:00,2024-05-01 08:00:00
BAT-0098,COMP-0020,ITM-0005_COMP-0020,BTH-2024-0098,23,2024-03-24,2024-01-01,2025-12-31,38500,885500,38,31-60,Warehouse-C,2024-03-24 00:00:00,2024-05-01 08:00:00
BAT-0099,COMP-0020,ITM-0006_COMP-0020,BTH-2024-0099,29,2024-04-21,2024-01-01,2025-12-31,2450,71050,10,0-30,Warehouse-B,2024-04-21 00:00:00,2024-05-01 08:00:00
BAT-0100,COMP-0020,ITM-0009_COMP-0020,BTH-2024-0100,26,2024-03-16,2024-01-01,2025-12-31,1050,27300,46,31-60,Warehouse-B,2024-03-16 00:00:00,2024-05-01 08:00:00
BAT-0101,COMP-0021,ITM-0003_COMP-0021,BTH-2024-0101,26,2024-03-24,2024-01-01,2025-12-31,29399,764374,38,31-60,Warehouse-C,2024-03-24 00:00:00,2024-05-01 08:00:00
BAT-0102,COMP-0021,ITM-0004_COMP-0021,BTH-2024-0102,16,2024-04-20,2024-01-01,2025-12-31,84000,1344000,11,0-30,Warehouse-B,2024-04-20 00:00:00,2024-05-01 08:00:00
BAT-0103,COMP-0021,ITM-0005_COMP-0021,BTH-2024-0103,21,2024-04-15,2024-01-01,2025-12-31,38500,808500,16,0-30,Warehouse-C,2024-04-15 00:00:00,2024-05-01 08:00:00
BAT-0104,COMP-0021,ITM-0006_COMP-0021,BTH-2024-0104,18,2024-04-08,2024-01-01,2025-12-31,2450,44100,23,0-30,Warehouse-B,2024-04-08 00:00:00,2024-05-01 08:00:00
BAT-0105,COMP-0021,ITM-0009_COMP-0021,BTH-2024-0105,20,2024-03-03,2024-01-01,2025-12-31,1050,21000,59,31-60,Warehouse-C,2024-03-03 00:00:00,2024-05-01 08:00:00
BAT-0106,COMP-0022,ITM-0003_COMP-0022,BTH-2024-0106,16,2024-04-21,2024-01-01,2025-12-31,29399,470384,10,0-30,Warehouse-A,2024-04-21 00:00:00,2024-05-01 08:00:00
BAT-0107,COMP-0022,ITM-0004_COMP-0022,BTH-2024-0107,8,2024-04-22,2024-01-01,2025-12-31,84000,672000,9,0-30,Warehouse-B,2024-04-22 00:00:00,2024-05-01 08:00:00
BAT-0108,COMP-0022,ITM-0005_COMP-0022,BTH-2024-0108,11,2024-04-18,2024-01-01,2025-12-31,38500,423500,13,0-30,Warehouse-A,2024-04-18 00:00:00,2024-05-01 08:00:00
BAT-0109,COMP-0022,ITM-0006_COMP-0022,BTH-2024-0109,5,2024-04-09,2024-01-01,2025-12-31,2450,12250,22,0-30,Warehouse-A,2024-04-09 00:00:00,2024-05-01 08:00:00
BAT-0110,COMP-0022,ITM-0009_COMP-0022,BTH-2024-0110,13,2024-03-05,2024-01-01,2025-12-31,1050,13650,57,31-60,Warehouse-A,2024-03-05 00:00:00,2024-05-01 08:00:00
BAT-0111,COMP-0023,ITM-0003_COMP-0023,BTH-2024-0111,17,2024-03-28,2024-01-01,2025-12-31,29399,499783,34,31-60,Warehouse-B,2024-03-28 00:00:00,2024-05-01 08:00:00
BAT-0112,COMP-0023,ITM-0004_COMP-0023,BTH-2024-0112,26,2024-04-24,2024-01-01,2025-12-31,84000,2184000,7,0-30,Warehouse-A,2024-04-24 00:00:00,2024-05-01 08:00:00
BAT-0113,COMP-0023,ITM-0005_COMP-0023,BTH-2024-0113,12,2024-04-29,2024-01-01,2025-12-31,38500,462000,2,0-30,Warehouse-C,2024-04-29 00:00:00,2024-05-01 08:00:00
BAT-0114,COMP-0023,ITM-0006_COMP-0023,BTH-2024-0114,20,2024-03-21,2024-01-01,2025-12-31,2450,49000,41,31-60,Warehouse-A,2024-03-21 00:00:00,2024-05-01 08:00:00
BAT-0115,COMP-0023,ITM-0009_COMP-0023,BTH-2024-0115,29,2024-04-15,2024-01-01,2025-12-31,1050,30450,16,0-30,Warehouse-C,2024-04-15 00:00:00,2024-05-01 08:00:00
BAT-0116,COMP-0024,ITM-0003_COMP-0024,BTH-2024-0116,26,2024-03-01,2024-01-01,2025-12-31,29399,764374,61,31-60,Warehouse-C,2024-03-01 00:00:00,2024-05-01 08:00:00
BAT-0117,COMP-0024,ITM-0004_COMP-0024,BTH-2024-0117,19,2024-03-04,2024-01-01,2025-12-31,84000,1596000,58,31-60,Warehouse-C,2024-03-04 00:00:00,2024-05-01 08:00:00
BAT-0118,COMP-0024,ITM-0005_COMP-0024,BTH-2024-0118,28,2024-04-13,2024-01-01,2025-12-31,38500,1078000,18,0-30,Warehouse-A,2024-04-13 00:00:00,2024-05-01 08:00:00
BAT-0119,COMP-0024,ITM-0006_COMP-0024,BTH-2024-0119,30,2024-03-15,2024-01-01,2025-12-31,2450,73500,47,31-60,Warehouse-C,2024-03-15 00:00:00,2024-05-01 08:00:00
BAT-0120,COMP-0024,ITM-0009_COMP-0024,BTH-2024-0120,29,2024-03-24,2024-01-01,2025-12-31,1050,30450,38,31-60,Warehouse-A,2024-03-24 00:00:00,2024-05-01 08:00:00
BAT-0121,COMP-0025,ITM-0003_COMP-0025,BTH-2024-0121,26,2024-04-30,2024-01-01,2025-12-31,29399,764374,1,0-30,Warehouse-C,2024-04-30 00:00:00,2024-05-01 08:00:00
BAT-0122,COMP-0025,ITM-0004_COMP-0025,BTH-2024-0122,12,2024-03-27,2024-01-01,2025-12-31,84000,1008000,35,31-60,Warehouse-C,2024-03-27 00:00:00,2024-05-01 08:00:00
BAT-0123,COMP-0025,ITM-0005_COMP-0025,BTH-2024-0123,28,2024-04-27,2024-01-01,2025-12-31,38500,1078000,4,0-30,Warehouse-B,2024-04-27 00:00:00,2024-05-01 08:00:00
BAT-0124,COMP-0025,ITM-0006_COMP-0025,BTH-2024-0124,30,2024-03-31,2024-01-01,2025-12-31,2450,73500,31,31-60,Warehouse-A,2024-03-31 00:00:00,2024-05-01 08:00:00
BAT-0125,COMP-0025,ITM-0009_COMP-0025,BTH-2024-0125,13,2024-04-07,2024-01-01,2025-12-31,1050,13650,24,0-30,Warehouse-C,2024-04-07 00:00:00,2024-05-01 08:00:00
BAT-0126,COMP-0026,ITM-0003_COMP-0026,BTH-2024-0126,11,2024-03-09,2024-01-01,2025-12-31,29399,323389,53,31-60,Warehouse-C,2024-03-09 00:00:00,2024-05-01 08:00:00
BAT-0127,COMP-0026,ITM-0004_COMP-0026,BTH-2024-0127,30,2024-04-20,2024-01-01,2025-12-31,84000,2520000,11,0-30,Warehouse-A,2024-04-20 00:00:00,2024-05-01 08:00:00
BAT-0128,COMP-0026,ITM-0005_COMP-0026,BTH-2024-0128,7,2024-03-11,2024-01-01,2025-12-31,38500,269500,51,31-60,Warehouse-A,2024-03-11 00:00:00,2024-05-01 08:00:00
BAT-0129,COMP-0026,ITM-0006_COMP-0026,BTH-2024-0129,25,2024-03-17,2024-01-01,2025-12-31,2450,61250,45,31-60,Warehouse-C,2024-03-17 00:00:00,2024-05-01 08:00:00
