VoucherID,CompanyID,VoucherNo,VoucherType,VoucherDate,PartyID,PartyName,SubTotal,TaxAmount,GrandTotal,Narration,Status,CreatedDate,LastModifiedDate
VCH-0028,COMP-0001,PUR-000028,Purchase,2024-04-07,PTY-0001,Neha Sharma Traders,328500,59130,387630,Purchase to Neha Sharma Traders,Posted,2024-04-07,2024-05-01
VCH-0029,COMP-0001,SAL-000029,Sales,2024-04-18,PTY-0010,Priya Gupta Traders,393500,70830,464330,Sales to Priya Gupta Traders,Posted,2024-04-18,2024-05-01
VCH-0030,COMP-0001,PUR-000030,Purchase,2024-05-26,PTY-0003,Vikram Patel Traders,1350000,243000,1593000,Purchase to Vikram Patel Traders,Posted,2024-05-26,2024-05-01
VCH-0031,COMP-0001,JOU-000031,Journal,2024-05-02,,,17656,0,17656,Journal voucher,Posted,2024-05-02,2024-05-01
VCH-0032,COMP-0001,JOU-000032,Journal,2024-05-22,,,8215,0,8215,Journal voucher,Posted,2024-05-22,2024-05-01
VCH-0033,COMP-0001,PUR-000033,Purchase,2024-05-09,PTY-0006,Amit Singh Suppliers,51500,9270,60770,Purchase to Amit Singh Suppliers,Posted,2024-05-09,2024-05-01
VCH-0034,COMP-0001,PUR-000034,Purchase,2024-04-18,PTY-0007,Amit Gupta Suppliers,715000,128700,843700,Purchase to Amit Gupta Suppliers,Posted,2024-04-18,2024-05-01
VCH-0035,COMP-0001,SAL-000035,Sales,2024-06-09,PTY-0014,Amit Gupta Suppliers,336000,60480,396480,Sales to Amit Gupta Suppliers,Posted,2024-06-09,2024-05-01
VCH-0036,COMP-0001,SAL-000036,Sales,2024-06-28,PTY-0012,Rajesh Gupta Suppliers,98000,17640,115640,Sales to Rajesh Gupta Suppliers,Posted,2024-06-28,2024-05-01
VCH-0037,COMP-0001,PUR-000037,Purchase,2024-05-23,PTY-0001,Neha Sharma Traders,443000,79740,522740,Purchase to Neha Sharma Traders,Posted,2024-05-23,2024-05-01
VCH-0038,COMP-0001,PUR-000038,Purchase,2024-06-14,PTY-0005,Rajesh Sharma Traders,630500,113490,743990,Purchase to Rajesh Sharma Traders,Posted,2024-06-14,2024-05-01
VCH-0039,COMP-0001,SAL-000039,Sales,2024-06-25,PTY-0015,Amit Gupta Suppliers,55000,9900,64900,Sales to Amit Gupta Suppliers,Posted,2024-06-25,2024-05-01
VCH-0040,COMP-0001,JOU-000040,Journal,2024-05-05,,,8507,0,8507,Journal voucher,Posted,2024-05-05,2024-05-01
VCH-0041,COMP-0001,SAL-000041,Sales,2024-06-16,PTY-0010,Priya Gupta Traders,17900,3222,21122,Sales to Priya Gupta Traders,Posted,2024-06-16,2024-05-01
VCH-0042,COMP-0001,SAL-000042,Sales,2024-06-29,PTY-0005,Rajesh Sharma Traders,487700,87786,575486,Sales to Rajesh Sharma Traders,Posted,2024-06-29,2024-05-01
VCH-0043,COMP-0001,JOU-000043,Journal,2024-04-01,,,11576,0,11576,Journal voucher,Posted,2024-04-01,2024-05-01
VCH-0044,COMP-0001,SAL-000044,Sales,2024-04-09,PTY-0004,Priya Gupta Distributors,1071500,192870,1264370,Sales to Priya Gupta Distributors,Posted,2024-04-09,2024-05-01
VCH-0045,COMP-0001,PUR-000045,Purchase,2024-06-04,PTY-0002,Amit Gupta Distributors,385000,69300,454300,Purchase to Amit Gupta Distributors,Posted,2024-06-04,2024-05-01
VCH-0046,COMP-0001,JOU-000046,Journal,2024-06-01,,,12698,0,12698,Journal voucher,Posted,2024-06-01,2024-05-01
VCH-0047,COMP-0001,PUR-000047,Purchase,2024-06-18,PTY-0004,Priya Gupta Distributors,321000,57780,378780,Purchase to Priya Gupta Distributors,Posted,2024-06-18,2024-05-01
VCH-0048,COMP-0001,SAL-000048,Sales,2024-06-24,PTY-0007,Amit Gupta Suppliers,114500,20610,135110,Sales to Amit Gupta Suppliers,Posted,2024-06-24,2024-05-01
VCH-0049,COMP-0001,PUR-000049,Purchase,2024-06-15,PTY-0009,Priya Kumar Traders,465000,83700,548700,Purchase to Priya Kumar Traders,Posted,2024-06-15,2024-05-01
VCH-0050,COMP-0001,SAL-000050,Sales,2024-05-25,PTY-0010,Priya Gupta Traders,105000,18900,123900,Sales to Priya Gupta Traders,Posted,2024-05-25,2024-05-01
VCH-0051,COMP-0001,PUR-000051,Purchase,2024-04-05,PTY-0015,Amit Gupta Suppliers,10500,1890,12390,Purchase to Amit Gupta Suppliers,Posted,2024-04-05,2024-05-01
VCH-0052,COMP-0001,JOU-000052,Journal,2024-05-30,,,20019,0,20019,Journal voucher,Posted,2024-05-30,2024-05-01
VCH-0053,COMP-0001,JOU-000053,Journal,2024-04-02,,,16722,0,16722,Journal voucher,Posted,2024-04-02,2024-05-01
VCH-0054,COMP-0001,JOU-000054,Journal,2024-05-15,,,22205,0,22205,Journal voucher,Posted,2024-05-15,2024-05-01
VCH-0055,COMP-0002,SAL-000055,Sales,2024-04-09,PTY-0021,Neha Sharma Suppliers,15000,2700,17700,Sales to Neha Sharma Suppliers,Posted,2024-04-09,2024-05-01
VCH-0056,COMP-0002,SAL-000056,Sales,2024-06-24,PTY-0029,Neha Sharma Traders,6300,1134,7434,Sales to Neha Sharma Traders,Posted,2024-06-24,2024-05-01
VCH-0057,COMP-0002,PUR-000057,Purchase,2024-05-31,PTY-0022,Rajesh Kumar Suppliers,724000,130320,854320,Purchase to Rajesh Kumar Suppliers,Posted,2024-05-31,2024-05-01
VCH-0058,COMP-0002,SAL-000058,Sales,2024-04-09,PTY-0022,Rajesh Kumar Suppliers,110000,19800,129800,Sales to Rajesh Kumar Suppliers,Posted,2024-04-09,2024-05-01
VCH-0059,COMP-0002,JOU-000059,Journal,2024-06-03,,,20611,0,20611,Journal voucher,Posted,2024-06-03,2024-05-01
VCH-0060,COMP-0002,JOU-000060,Journal,2024-04-30,,,12753,0,12753,Journal voucher,Posted,2024-04-30,2024-05-01
VCH-0061,COMP-0002,JOU-000061,Journal,2024-04-23,,,17585,0,17585,Journal voucher,Posted,2024-04-23,2024-05-01
VCH-0062,COMP-0002,SAL-000062,Sales,2024-04-09,PTY-0025,Amit Kumar Distributors,130000,23400,153400,Sales to Amit Kumar Distributors,Posted,2024-04-09,2024-05-01
VCH-0063,COMP-0002,JOU-000063,Journal,2024-05-27,,,24874,0,24874,Journal voucher,Posted,2024-05-27,2024-05-01
VCH-0064,COMP-0002,SAL-000064,Sales,2024-04-23,PTY-0031,Priya Singh Suppliers,768000,138240,906240,Sales to Priya Singh Suppliers,Posted,2024-04-23,2024-05-01
VCH-0065,COMP-0002,PUR-000065,Purchase,2024-06-02,PTY-0026,Neha Gupta Distributors,360000,64800,424800,Purchase to Neha Gupta Distributors,Posted,2024-06-02,2024-05-01
VCH-0066,COMP-0002,JOU-000066,Journal,2024-05-26,,,11301,0,11301,Journal voucher,Posted,2024-05-26,2024-05-01
VCH-0067,COMP-0002,SAL-000067,Sales,2024-06-14,PTY-0020,Priya Patel Suppliers,195000,35100,230100,Sales to Priya Patel Suppliers,Posted,2024-06-14,2024-05-01
VCH-0068,COMP-0002,SAL-000068,Sales,2024-04-01,PTY-0030,Neha Patel Traders,612500,110250,722750,Sales to Neha Patel Traders,Posted,2024-04-01,2024-05-01
VCH-0069,COMP-0002,PUR-000069,Purchase,2024-04-27,PTY-0032,Vikram Patel Traders,453500,81630,535130,Purchase to Vikram Patel Traders,Posted,2024-04-27,2024-05-01
VCH-0070,COMP-0002,PUR-000070,Purchase,2024-05-25,PTY-0019,Priya Sharma Distributors,379000,68220,447220,Purchase to Priya Sharma Distributors,Posted,2024-05-25,2024-05-01
VCH-0071,COMP-0002,SAL-000071,Sales,2024-06-03,PTY-0027,Vikram Kumar Suppliers,600000,108000,708000,Sales to Vikram Kumar Suppliers,Posted,2024-06-03,2024-05-01
VCH-0072,COMP-0002,SAL-000072,Sales,2024-05-03,PTY-0028,Vikram Patel Suppliers,210000,37800,247800,Sales to Vikram Patel Suppliers,Posted,2024-05-03,2024-05-01
VCH-0073,COMP-0002,PUR-000073,Purchase,2024-04-10,PTY-0024,Priya Gupta Distributors,1071500,192870,1264370,Purchase to Priya Gupta Distributors,Posted,2024-04-10,2024-05-01
VCH-0074,COMP-0002,PUR-000074,Purchase,2024-05-04,PTY-0018,Neha Kumar Traders,370000,66600,436600,Purchase to Neha Kumar Traders,Posted,2024-05-04,2024-05-01
VCH-0075,COMP-0002,SAL-000075,Sales,2024-04-08,PTY-0027,Vikram Kumar Suppliers,255400,45972,301372,Sales to Vikram Kumar Suppliers,Posted,2024-04-08,2024-05-01
VCH-0076,COMP-0002,JOU-000076,Journal,2024-04-10,,,24600,0,24600,Journal voucher,Posted,2024-04-10,2024-05-01
VCH-0077,COMP-0002,PUR-000077,Purchase,2024-06-10,PTY-0021,Neha Sharma Suppliers,505000,90900,595900,Purchase to Neha Sharma Suppliers,Posted,2024-06-10,2024-05-01
VCH-0078,COMP-0002,SAL-000078,Sales,2024-06-04,PTY-0028,Vikram Patel Suppliers,58600,10548,69148,Sales to Vikram Patel Suppliers,Posted,2024-06-04,2024-05-01
VCH-0079,COMP-0002,SAL-000079,Sales,2024-04-08,PTY-0023,Amit Patel Distributors,530000,95400,625400,Sales to Amit Patel Distributors,Posted,2024-04-08,2024-05-01
VCH-0080,COMP-0002,PUR-000080,Purchase,2024-05-19,PTY-0030,Neha Patel Traders,554000,99720,653720,Purchase to Neha Patel Traders,Posted,2024-05-19,2024-05-01
VCH-0081,COMP-0002,SAL-000081,Sales,2024-05-16,PTY-0030,Neha Patel Traders,480000,86400,566400,Sales to Neha Patel Traders,Posted,2024-05-16,2024-05-01
VCH-0082,COMP-0002,PUR-000082,Purchase,2024-04-12,PTY-0024,Priya Gupta Distributors,261500,47070,308570,Purchase to Priya Gupta Distributors,Posted,2024-04-12,2024-05-01
VCH-0083,COMP-0002,SAL-000083,Sales,2024-04-08,PTY-0021,Neha Sharma Suppliers,372000,66960,438960,Sales to Neha Sharma Suppliers,Posted,2024-04-08,2024-05-01
VCH-0084,COMP-0002,PUR-000084,Purchase,2024-05-15,PTY-0024,Priya Gupta Distributors,356000,64080,420080,Purchase to Priya Gupta Distributors,Posted,2024-05-15,2024-05-01
VCH-0085,COMP-0002,SAL-000085,Sales,2024-06-24,PTY-0025,Amit Kumar Distributors,751600,135288,886888,Sales to Amit Kumar Distributors,Posted,2024-06-24,2024-05-01
VCH-0086,COMP-0002,JOU-000086,Journal,2024-05-09,,,23068,0,23068,Journal voucher,Posted,2024-05-09,2024-05-01
VCH-0087,COMP-0002,SAL-000087,Sales,2024-06-23,PTY-0025,Amit Kumar Distributors,331500,59670,391170,Sales to Amit Kumar Distributors,Posted,2024-06-23,2024-05-01
VCH-0088,COMP-0002,JOU-000088,Journal,2024-05-23,,,20932,0,20932,Journal voucher,Posted,2024-05-23,2024-05-01
VCH-0089,COMP-0002,SAL-000089,Sales,2024-04-11,PTY-0021,Neha Sharma Suppliers,611000,109980,720980,Sales to Neha Sharma Suppliers,Posted,2024-04-11,2024-05-01
VCH-0090,COMP-0002,SAL-000090,Sales,2024-04-19,PTY-0024,Priya Gupta Distributors,77900,14022,91922,Sales to Priya Gupta Distributors,Posted,2024-04-19,2024-05-01
VCH-0091,COMP-0002,SAL-000091,Sales,2024-05-05,PTY-0029,Neha Sharma Traders,730000,131400,861400,Sales to Neha Sharma Traders,Posted,2024-05-05,2024-05-01
VCH-0092,COMP-0002,SAL-000092,Sales,2024-06-03,PTY-0029,Neha Sharma Traders,263600,47448,311048,Sales to Neha Sharma Traders,Posted,2024-06-03,2024-05-01
VCH-0093,COMP-0002,SAL-000093,Sales,2024-05-19,PTY-0030,Neha Patel Traders,454000,81720,535720,Sales to Neha Patel Traders,Posted,2024-05-19,2024-05-01
VCH-0094,COMP-0002,JOU-000094,Journal,2024-05-04,,,24364,0,24364,Journal voucher,Posted,2024-05-04,2024-05-01
VCH-0095,COMP-0002,SAL-000095,Sales,2024-04-04,PTY-0030,Neha Patel Traders,730000,131400,861400,Sales to Neha Patel Traders,Posted,2024-04-04,2024-05-01
VCH-0096,COMP-0002,PUR-000096,Purchase,2024-06-08,PTY-0025,Amit Kumar Distributors,80000,14400,94400,Purchase to Amit Kumar Distributors,Posted,2024-06-08,2024-05-01
VCH-0097,COMP-0002,SAL-000097,Sales,2024-05-01,PTY-0017,Rajesh Singh Suppliers,495000,89100,584100,Sales to Rajesh Singh Suppliers,Posted,2024-05-01,2024-05-01
VCH-0098,COMP-0002,PUR-000098,Purchase,2024-05-14,PTY-0018,Neha Kumar Traders,362500,65250,427750,Purchase to Neha Kumar Traders,Posted,2024-05-14,2024-05-01
VCH-0099,COMP-0002,PUR-000099,Purchase,2024-05-10,PTY-0027,Vikram Kumar Suppliers,336900,60642,397542,Purchase to Vikram Kumar Suppliers,Posted,2024-05-10,2024-05-01
VCH-0100,COMP-0002,SAL-000100,Sales,2024-05-27,PTY-0018,Neha Kumar Traders,126300,22734,149034,Sales to Neha Kumar Traders,Posted,2024-05-27,2024-05-01
VCH-0101,COMP-0002,JOU-000101,Journal,2024-06-14,,,14058,0,14058,Journal voucher,Posted,2024-06-14,2024-05-01
VCH-0102,COMP-0002,PUR-000102,Purchase,2024-04-09,PTY-0025,Amit Kumar Distributors,168600,30348,198948,Purchase to Amit Kumar Distributors,Posted,2024-04-09,2024-05-01
VCH-0103,COMP-0002,SAL-000103,Sales,2024-06-20,PTY-0018,Neha Kumar Traders,55000,9900,64900,Sales to Neha Kumar Traders,Posted,2024-06-20,2024-05-01
VCH-0104,COMP-0002,PUR-000104,Purchase,2024-04-24,PTY-0031,Priya Singh Suppliers,354000,63720,417720,Purchase to Priya Singh Suppliers,Posted,2024-04-24,2024-05-01
VCH-0105,COMP-0002,SAL-000105,Sales,2024-05-03,PTY-0028,Vikram Patel Suppliers,706000,127080,833080,Sales to Vikram Patel Suppliers,Posted,2024-05-03,2024-05-01
VCH-0106,COMP-0002,PUR-000106,Purchase,2024-04-15,PTY-0024,Priya Gupta Distributors,21000,3780,24780,Purchase to Priya Gupta Distributors,Posted,2024-04-15,2024-05-01
VCH-0107,COMP-0002,PUR-000107,Purchase,2024-06-27,PTY-0030,Neha Patel Traders,642000,115560,757560,Purchase to Neha Patel Traders,Posted,2024-06-27,2024-05-01
VCH-0108,COMP-0002,JOU-000108,Journal,2024-05-13,,,17278,0,17278,Journal voucher,Posted,2024-05-13,2024-05-01
VCH-0109,COMP-0002,PUR-000109,Purchase,2024-05-08,PTY-0022,Rajesh Kumar Suppliers,250000,45000,295000,Purchase to Rajesh Kumar Suppliers,Posted,2024-05-08,2024-05-01
VCH-0110,COMP-0002,PUR-000110,Purchase,2024-04-14,PTY-0027,Vikram Kumar Suppliers,179000,32220,211220,Purchase to Vikram Kumar Suppliers,Posted,2024-04-14,2024-05-01
VCH-0111,COMP-0003,SAL-000111,Sales,2024-06-23,PTY-0035,Neha Kumar Traders,10500,1890,12390,Sales to Neha Kumar Traders,Posted,2024-06-23,2024-05-01
VCH-0112,COMP-0003,JOU-000112,Journal,2024-06-08,,,22293,0,22293,Journal voucher,Posted,2024-06-08,2024-05-01
VCH-0113,COMP-0003,PUR-000113,Purchase,2024-06-17,PTY-0049,Vikram Gupta Traders,189100,34038,223138,Purchase to Vikram Gupta Traders,Posted,2024-06-17,2024-05-01
VCH-0114,COMP-0003,SAL-000114,Sales,2024-05-13,PTY-0044,Priya Kumar Distributors,5400,972,6372,Sales to Priya Kumar Distributors,Posted,2024-05-13,2024-05-01
VCH-0115,COMP-0003,PUR-000115,Purchase,2024-04-15,PTY-0047,Vikram Gupta Suppliers,457000,82260,539260,Purchase to Vikram Gupta Suppliers,Posted,2024-04-15,2024-05-01
VCH-0116,COMP-0003,PUR-000116,Purchase,2024-06-23,PTY-0040,Neha Singh Suppliers,510000,91800,601800,Purchase to Neha Singh Suppliers,Posted,2024-06-23,2024-05-01
VCH-0117,COMP-0003,PUR-000117,Purchase,2024-05-23,PTY-0037,Vikram Sharma Distributors,417000,75060,492060,Purchase to Vikram Sharma Distributors,Posted,2024-05-23,2024-05-01
VCH-0118,COMP-0003,PUR-000118,Purchase,2024-05-23,PTY-0037,Vikram Sharma Distributors,292200,52596,344796,Purchase to Vikram Sharma Distributors,Posted,2024-05-23,2024-05-01
VCH-0119,COMP-0003,PUR-000119,Purchase,2024-04-16,PTY-0048,Neha Sharma Suppliers,359000,64620,423620,Purchase to Neha Sharma Suppliers,Posted,2024-04-16,2024-05-01
VCH-0120,COMP-0003,SAL-000120,Sales,2024-06-28,PTY-0035,Neha Kumar Traders,10500,1890,12390,Sales to Neha Kumar Traders,Posted,2024-06-28,2024-05-01
VCH-0121,COMP-0003,SAL-000121,Sales,2024-05-25,PTY-0045,Neha Kumar Traders,268500,48330,316830,Sales to Neha Kumar Traders,Posted,2024-05-25,2024-05-01
VCH-0122,COMP-0003,PUR-000122,Purchase,2024-05-14,PTY-0036,Rajesh Gupta Suppliers,854500,153810,1008310,Purchase to Rajesh Gupta Suppliers,Posted,2024-05-14,2024-05-01
VCH-0123,COMP-0003,PUR-000123,Purchase,2024-06-20,PTY-0046,Neha Singh Suppliers,86700,15606,102306,Purchase to Neha Singh Suppliers,Posted,2024-06-20,2024-05-01
VCH-0124,COMP-0003,JOU-000124,Journal,2024-04-20,,,24449,0,24449,Journal voucher,Posted,2024-04-20,2024-05-01
VCH-0125,COMP-0003,PUR-000125,Purchase,2024-06-26,PTY-0045,Neha Kumar Traders,88500,15930,104430,Purchase to Neha Kumar Traders,Posted,2024-06-26,2024-05-01
VCH-0126,COMP-0003,SAL-000126,Sales,2024-04-30,PTY-0043,Amit Kumar Suppliers,10500,1890,12390,Sales to Amit Kumar Suppliers,Posted,2024-04-30,2024-05-01
VCH-0127,COMP-0003,SAL-000127,Sales,2024-05-07,PTY-0043,Amit Kumar Suppliers,42000,7560,49560,Sales to Amit Kumar Suppliers,Posted,2024-05-07,2024-05-01
VCH-0128,COMP-0003,PUR-000128,Purchase,2024-04-27,PTY-0041,Priya Kumar Suppliers,266500,47970,314470,Purchase to Priya Kumar Suppliers,Posted,2024-04-27,2024-05-01
VCH-0129,COMP-0003,SAL-000129,Sales,2024-05-07,PTY-0047,Vikram Gupta Suppliers,210000,37800,247800,Sales to Vikram Gupta Suppliers,Posted,2024-05-07,2024-05-01
VCH-0130,COMP-0003,JOU-000130,Journal,2024-05-04,,,8477,0,8477,Journal voucher,Posted,2024-05-04,2024-05-01
VCH-0131,COMP-0003,SAL-000131,Sales,2024-06-25,PTY-0036,Rajesh Gupta Suppliers,4500,810,5310,Sales to Rajesh Gupta Suppliers,Posted,2024-06-25,2024-05-01
VCH-0132,COMP-0003,PUR-000132,Purchase,2024-04-04,PTY-0034,Vikram Singh Distributors,522000,93960,615960,Purchase to Vikram Singh Distributors,Posted,2024-04-04,2024-05-01
VCH-0133,COMP-0003,SAL-000133,Sales,2024-04-27,PTY-0046,Neha Singh Suppliers,237200,42696,279896,Sales to Neha Singh Suppliers,Posted,2024-04-27,2024-05-01
VCH-0134,COMP-0003,JOU-000134,Journal,2024-06-30,,,8930,0,8930,Journal voucher,Posted,2024-06-30,2024-05-01
VCH-0135,COMP-0003,PUR-000135,Purchase,2024-05-26,PTY-0035,Neha Kumar Traders,110000,19800,129800,Purchase to Neha Kumar Traders,Posted,2024-05-26,2024-05-01
VCH-0136,COMP-0003,JOU-000136,Journal,2024-05-16,,,12288,0,12288,Journal voucher,Posted,2024-05-16,2024-05-01
VCH-0137,COMP-0003,SAL-000137,Sales,2024-05-12,PTY-0043,Amit Kumar Suppliers,60400,10872,71272,Sales to Amit Kumar Suppliers,Posted,2024-05-12,2024-05-01
VCH-0138,COMP-0003,SAL-000138,Sales,2024-05-26,PTY-0049,Vikram Gupta Traders,380000,68400,448400,Sales to Vikram Gupta Traders,Posted,2024-05-26,2024-05-01
VCH-0139,COMP-0003,PUR-000139,Purchase,2024-04-18,PTY-0040,Neha Singh Suppliers,804500,144810,949310,Purchase to Neha Singh Suppliers,Posted,2024-04-18,2024-05-01
VCH-0140,COMP-0003,SAL-000140,Sales,2024-06-03,PTY-0039,Vikram Kumar Suppliers,1145000,206100,1351100,Sales to Vikram Kumar Suppliers,Posted,2024-06-03,2024-05-01
VCH-0141,COMP-0003,PUR-000141,Purchase,2024-06-11,PTY-0038,Rajesh Singh Traders,50000,9000,59000,Purchase to Rajesh Singh Traders,Posted,2024-06-11,2024-05-01
VCH-0142,COMP-0003,SAL-000142,Sales,2024-06-18,PTY-0040,Neha Singh Suppliers,235000,42300,277300,Sales to Neha Singh Suppliers,Posted,2024-06-18,2024-05-01
VCH-0143,COMP-0003,PUR-000143,Purchase,2024-05-08,PTY-0048,Neha Sharma Suppliers,207500,37350,244850,Purchase to Neha Sharma Suppliers,Posted,2024-05-08,2024-05-01
VCH-0144,COMP-0003,SAL-000144,Sales,2024-04-29,PTY-0042,Neha Gupta Distributors,28100,5058,33158,Sales to Neha Gupta Distributors,Posted,2024-04-29,2024-05-01
VCH-0145,COMP-0003,SAL-000145,Sales,2024-04-15,PTY-0043,Amit Kumar Suppliers,402700,72486,475186,Sales to Amit Kumar Suppliers,Posted,2024-04-15,2024-05-01
VCH-0146,COMP-0003,PUR-000146,Purchase,2024-06-02,PTY-0040,Neha Singh Suppliers,275000,49500,324500,Purchase to Neha Singh Suppliers,Posted,2024-06-02,2024-05-01
VCH-0147,COMP-0003,SAL-000147,Sales,2024-06-04,PTY-0046,Neha Singh Suppliers,9000,1620,10620,Sales to Neha Singh Suppliers,Posted,2024-06-04,2024-05-01
VCH-0148,COMP-0003,PUR-000148,Purchase,2024-05-04,PTY-0046,Neha Singh Suppliers,56300,10134,66434,Purchase to Neha Singh Suppliers,Posted,2024-05-04,2024-05-01
VCH-0149,COMP-0003,SAL-000149,Sales,2024-04-07,PTY-0040,Neha Singh Suppliers,905000,162900,1067900,Sales to Neha Singh Suppliers,Posted,2024-04-07,2024-05-01
VCH-0150,COMP-0003,PUR-000150,Purchase,2024-04-29,PTY-0038,Rajesh Singh Traders,940000,169200,1109200,Purchase to Rajesh Singh Traders,Posted,2024-04-29,2024-05-01
VCH-0151,COMP-0003,JOU-000151,Journal,2024-04-03,,,7957,0,7957,Journal voucher,Posted,2024-04-03,2024-05-01
VCH-0152,COMP-0003,JOU-000152,Journal,2024-05-16,,,23117,0,23117,Journal voucher,Posted,2024-05-16,2024-05-01
VCH-0153,COMP-0003,SAL-000153,Sales,2024-06-23,PTY-0039,Vikram Kumar Suppliers,844500,152010,996510,Sales to Vikram Kumar Suppliers,Posted,2024-06-23,2024-05-01
