AccountID,CompanyID,LedgerID,AccountName,OpeningBalance,CurrentBalance,Location,LastSyncDate,IsActive,CreatedAt,UpdatedAt
CA-0030,COMP-0030,LED-0294,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0031,COMP-0031,LED-0304,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0032,COMP-0032,LED-0314,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0033,COMP-0033,LED-0324,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0034,COMP-0034,LED-0334,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0035,COMP-0035,LED-0344,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0036,COMP-0036,LED-0354,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0037,COMP-0037,LED-0364,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0038,COMP-0038,LED-0374,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0039,COMP-0039,LED-0384,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0040,COMP-0040,LED-0394,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0041,COMP-0041,LED-0404,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0042,COMP-0042,LED-0414,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0043,COMP-0043,LED-0424,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0044,COMP-0044,LED-0434,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0045,COMP-0045,LED-0444,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0046,COMP-0046,LED-0454,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0047,COMP-0047,LED-0464,Cash Account,10000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0048,COMP-0048,LED-0474,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0049,COMP-0049,LED-0484,Cash Account,5000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
CA-0050,COMP-0050,LED-0494,Cash Account,20000,,Main Counter,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
