ItemID,CompanyID,ItemName,CategoryID,Unit,OpeningStock,SaleRate,PurchaseRate,MRP,MinStockLevel,MaxStockLevel,ReorderLevel,Location,HSN,GST,IsActive,CreatedDate,LastModifiedDate
ITM-0006_COMP-0003,COMP-0003,Cotton Silk Saree,CAT-001,Pcs,38,3500,2450,3850,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0003,COMP-0003,Pure Silk Saree,CAT-001,Pcs,38,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0003,COMP-0003,Cotton Shirt,CAT-001,Pcs,65,900,630,990,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0003,COMP-0003,Jeans Pant,CAT-001,Pcs,13,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0004,COMP-0004,iPhone 15,CAT-001,Pcs,31,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0004,COMP-0004,Samsung S24,CAT-001,Pcs,86,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0004,COMP-0004,OnePlus 12,CAT-001,Pcs,82,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0004,COMP-0004,Dell XPS 15,CAT-001,Pcs,66,120000,84000,132000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0004,COMP-0004,HP Pavilion,CAT-001,Pcs,69,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0004,COMP-0004,Cotton Silk Saree,CAT-001,Pcs,48,3500,2450,3850,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0004,COMP-0004,Pure Silk Saree,CAT-001,Pcs,61,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0004,COMP-0004,Cotton Shirt,CAT-001,Pcs,74,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0004,COMP-0004,Jeans Pant,CAT-001,Pcs,73,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0005,COMP-0005,iPhone 15,CAT-001,Pcs,35,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0005,COMP-0005,Samsung S24,CAT-001,Pcs,71,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0005,COMP-0005,OnePlus 12,CAT-001,Pcs,40,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0005,COMP-0005,Dell XPS 15,CAT-001,Pcs,83,120000,84000,132000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0005,COMP-0005,HP Pavilion,CAT-001,Pcs,83,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0005,COMP-0005,Cotton Silk Saree,CAT-001,Pcs,99,3500,2450,3850,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0005,COMP-0005,Pure Silk Saree,CAT-001,Pcs,12,10000,7000,11000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0005,COMP-0005,Cotton Shirt,CAT-001,Pcs,60,900,630,990,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0005,COMP-0005,Jeans Pant,CAT-001,Pcs,11,1500,1050,1650,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0006,COMP-0006,iPhone 15,CAT-001,Pcs,22,65000,45500,71500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0006,COMP-0006,Samsung S24,CAT-001,Pcs,57,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0006,COMP-0006,OnePlus 12,CAT-001,Pcs,81,42000,29399,46200,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0006,COMP-0006,Dell XPS 15,CAT-001,Pcs,85,120000,84000,132000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0006,COMP-0006,HP Pavilion,CAT-001,Pcs,81,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0006,COMP-0006,Cotton Silk Saree,CAT-001,Pcs,95,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0006,COMP-0006,Pure Silk Saree,CAT-001,Pcs,62,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0006,COMP-0006,Cotton Shirt,CAT-001,Pcs,95,900,630,990,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0006,COMP-0006,Jeans Pant,CAT-001,Pcs,16,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0007,COMP-0007,iPhone 15,CAT-001,Pcs,17,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0007,COMP-0007,Samsung S24,CAT-001,Pcs,23,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0007,COMP-0007,OnePlus 12,CAT-001,Pcs,20,42000,29399,46200,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0007,COMP-0007,Dell XPS 15,CAT-001,Pcs,92,120000,84000,132000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0007,COMP-0007,HP Pavilion,CAT-001,Pcs,15,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0007,COMP-0007,Cotton Silk Saree,CAT-001,Pcs,100,3500,2450,3850,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0007,COMP-0007,Pure Silk Saree,CAT-001,Pcs,66,10000,7000,11000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0007,COMP-0007,Cotton Shirt,CAT-001,Pcs,76,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0007,COMP-0007,Jeans Pant,CAT-001,Pcs,30,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0008,COMP-0008,iPhone 15,CAT-001,Pcs,88,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0008,COMP-0008,Samsung S24,CAT-001,Pcs,40,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0008,COMP-0008,OnePlus 12,CAT-001,Pcs,63,42000,29399,46200,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0008,COMP-0008,Dell XPS 15,CAT-001,Pcs,95,120000,84000,132000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0008,COMP-0008,HP Pavilion,CAT-001,Pcs,20,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0008,COMP-0008,Cotton Silk Saree,CAT-001,Pcs,56,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0008,COMP-0008,Pure Silk Saree,CAT-001,Pcs,77,10000,7000,11000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0008,COMP-0008,Cotton Shirt,CAT-001,Pcs,74,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0008,COMP-0008,Jeans Pant,CAT-001,Pcs,80,1500,1050,1650,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0009,COMP-0009,iPhone 15,CAT-001,Pcs,26,65000,45500,71500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0009,COMP-0009,Samsung S24,CAT-001,Pcs,21,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0009,COMP-0009,OnePlus 12,CAT-001,Pcs,49,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0009,COMP-0009,Dell XPS 15,CAT-001,Pcs,71,120000,84000,132000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0009,COMP-0009,HP Pavilion,CAT-001,Pcs,62,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0009,COMP-0009,Cotton Silk Saree,CAT-001,Pcs,83,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0009,COMP-0009,Pure Silk Saree,CAT-001,Pcs,26,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0009,COMP-0009,Cotton Shirt,CAT-001,Pcs,92,900,630,990,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0009,COMP-0009,Jeans Pant,CAT-001,Pcs,67,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0010,COMP-0010,iPhone 15,CAT-001,Pcs,77,65000,45500,71500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0010,COMP-0010,Samsung S24,CAT-001,Pcs,89,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0010,COMP-0010,OnePlus 12,CAT-001,Pcs,28,42000,29399,46200,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0010,COMP-0010,Dell XPS 15,CAT-001,Pcs,41,120000,84000,132000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0010,COMP-0010,HP Pavilion,CAT-001,Pcs,83,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0010,COMP-0010,Cotton Silk Saree,CAT-001,Pcs,24,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0010,COMP-0010,Pure Silk Saree,CAT-001,Pcs,12,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0010,COMP-0010,Cotton Shirt,CAT-001,Pcs,50,900,630,990,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0010,COMP-0010,Jeans Pant,CAT-001,Pcs,29,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0011,COMP-0011,iPhone 15,CAT-001,Pcs,80,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0011,COMP-0011,Samsung S24,CAT-001,Pcs,78,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0011,COMP-0011,OnePlus 12,CAT-001,Pcs,37,42000,29399,46200,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0011,COMP-0011,Dell XPS 15,CAT-001,Pcs,97,120000,84000,132000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0011,COMP-0011,HP Pavilion,CAT-001,Pcs,20,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0011,COMP-0011,Cotton Silk Saree,CAT-001,Pcs,67,3500,2450,3850,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0011,COMP-0011,Pure Silk Saree,CAT-001,Pcs,100,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0011,COMP-0011,Cotton Shirt,CAT-001,Pcs,19,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0011,COMP-0011,Jeans Pant,CAT-001,Pcs,24,1500,1050,1650,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0012,COMP-0012,iPhone 15,CAT-001,Pcs,42,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0012,COMP-0012,Samsung S24,CAT-001,Pcs,92,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0012,COMP-0012,OnePlus 12,CAT-001,Pcs,72,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0012,COMP-0012,Dell XPS 15,CAT-001,Pcs,31,120000,84000,132000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0012,COMP-0012,HP Pavilion,CAT-001,Pcs,55,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0012,COMP-0012,Cotton Silk Saree,CAT-001,Pcs,27,3500,2450,3850,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0012,COMP-0012,Pure Silk Saree,CAT-001,Pcs,79,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0012,COMP-0012,Cotton Shirt,CAT-001,Pcs,33,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0012,COMP-0012,Jeans Pant,CAT-001,Pcs,92,1500,1050,1650,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0013,COMP-0013,iPhone 15,CAT-001,Pcs,35,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0013,COMP-0013,Samsung S24,CAT-001,Pcs,23,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0013,COMP-0013,OnePlus 12,CAT-001,Pcs,48,42000,29399,46200,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0013,COMP-0013,Dell XPS 15,CAT-001,Pcs,60,120000,84000,132000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0013,COMP-0013,HP Pavilion,CAT-001,Pcs,89,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0013,COMP-0013,Cotton Silk Saree,CAT-001,Pcs,52,3500,2450,3850,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0013,COMP-0013,Pure Silk Saree,CAT-001,Pcs,52,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0013,COMP-0013,Cotton Shirt,CAT-001,Pcs,93,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0013,COMP-0013,Jeans Pant,CAT-001,Pcs,27,1500,1050,1650,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0014,COMP-0014,iPhone 15,CAT-001,Pcs,93,65000,45500,71500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0014,COMP-0014,Samsung S24,CAT-001,Pcs,48,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0014,COMP-0014,OnePlus 12,CAT-001,Pcs,67,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0014,COMP-0014,Dell XPS 15,CAT-001,Pcs,54,120000,84000,132000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0014,COMP-0014,HP Pavilion,CAT-001,Pcs,66,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0014,COMP-0014,Cotton Silk Saree,CAT-001,Pcs,40,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0014,COMP-0014,Pure Silk Saree,CAT-001,Pcs,85,10000,7000,11000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0014,COMP-0014,Cotton Shirt,CAT-001,Pcs,54,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0014,COMP-0014,Jeans Pant,CAT-001,Pcs,88,1500,1050,1650,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0015,COMP-0015,iPhone 15,CAT-001,Pcs,30,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0015,COMP-0015,Samsung S24,CAT-001,Pcs,23,55000,38500,60500,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0015,COMP-0015,OnePlus 12,CAT-001,Pcs,96,42000,29399,46200,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0015,COMP-0015,Dell XPS 15,CAT-001,Pcs,24,120000,84000,132000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0015,COMP-0015,HP Pavilion,CAT-001,Pcs,75,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0015,COMP-0015,Cotton Silk Saree,CAT-001,Pcs,15,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0015,COMP-0015,Pure Silk Saree,CAT-001,Pcs,41,10000,7000,11000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0015,COMP-0015,Cotton Shirt,CAT-001,Pcs,70,900,630,990,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0015,COMP-0015,Jeans Pant,CAT-001,Pcs,59,1500,1050,1650,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0016,COMP-0016,iPhone 15,CAT-001,Pcs,51,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0016,COMP-0016,Samsung S24,CAT-001,Pcs,44,55000,38500,60500,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0016,COMP-0016,OnePlus 12,CAT-001,Pcs,13,42000,29399,46200,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0016,COMP-0016,Dell XPS 15,CAT-001,Pcs,86,120000,84000,132000,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0016,COMP-0016,HP Pavilion,CAT-001,Pcs,13,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0016,COMP-0016,Cotton Silk Saree,CAT-001,Pcs,17,3500,2450,3850,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0016,COMP-0016,Pure Silk Saree,CAT-001,Pcs,77,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0016,COMP-0016,Cotton Shirt,CAT-001,Pcs,84,900,630,990,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0016,COMP-0016,Jeans Pant,CAT-001,Pcs,30,1500,1050,1650,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0017,COMP-0017,iPhone 15,CAT-001,Pcs,78,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0002_COMP-0017,COMP-0017,Samsung S24,CAT-001,Pcs,62,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0003_COMP-0017,COMP-0017,OnePlus 12,CAT-001,Pcs,59,42000,29399,46200,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0004_COMP-0017,COMP-0017,Dell XPS 15,CAT-001,Pcs,72,120000,84000,132000,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0005_COMP-0017,COMP-0017,HP Pavilion,CAT-001,Pcs,87,55000,38500,60500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0006_COMP-0017,COMP-0017,Cotton Silk Saree,CAT-001,Pcs,14,3500,2450,3850,10,50,15,Warehouse-A,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0007_COMP-0017,COMP-0017,Pure Silk Saree,CAT-001,Pcs,45,10000,7000,11000,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0008_COMP-0017,COMP-0017,Cotton Shirt,CAT-001,Pcs,28,900,630,990,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0009_COMP-0017,COMP-0017,Jeans Pant,CAT-001,Pcs,87,1500,1050,1650,10,50,15,Warehouse-C,847130,18,TRUE,2024-01-01,2024-05-01
ITM-0001_COMP-0018,COMP-0018,iPhone 15,CAT-001,Pcs,48,65000,45500,71500,10,50,15,Warehouse-B,847130,18,TRUE,2024-01-01,2024-05-01
