GroupID,CompanyID,GroupName,ParentGroup,GroupType,Nature,StatementType,CreatedDate,LastModifiedDate
GRP-0006_COMP-0016,COMP-0016,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0016,COMP-0016,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0017,COMP-0017,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0017,COMP-0017,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0017,COMP-0017,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0017,COMP-0017,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0017,COMP-0017,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0017,COMP-0017,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0017,COMP-0017,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0018,COMP-0018,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0018,COMP-0018,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0018,COMP-0018,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0018,COMP-0018,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0018,COMP-0018,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0018,COMP-0018,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0018,COMP-0018,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0019,COMP-0019,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0019,COMP-0019,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0019,COMP-0019,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0019,COMP-0019,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0019,COMP-0019,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0019,COMP-0019,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0019,COMP-0019,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0020,COMP-0020,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0020,COMP-0020,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0020,COMP-0020,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0020,COMP-0020,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0020,COMP-0020,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0020,COMP-0020,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0020,COMP-0020,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0021,COMP-0021,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0021,COMP-0021,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0021,COMP-0021,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0021,COMP-0021,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0021,COMP-0021,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0021,COMP-0021,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0021,COMP-0021,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0022,COMP-0022,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0022,COMP-0022,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0022,COMP-0022,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0022,COMP-0022,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0022,COMP-0022,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0022,COMP-0022,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0022,COMP-0022,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0023,COMP-0023,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0023,COMP-0023,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0023,COMP-0023,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0023,COMP-0023,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0023,COMP-0023,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0023,COMP-0023,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0023,COMP-0023,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0024,COMP-0024,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0024,COMP-0024,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0024,COMP-0024,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0024,COMP-0024,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0024,COMP-0024,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0024,COMP-0024,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0024,COMP-0024,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0025,COMP-0025,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0025,COMP-0025,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0025,COMP-0025,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0025,COMP-0025,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0025,COMP-0025,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0025,COMP-0025,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0025,COMP-0025,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0026,COMP-0026,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0026,COMP-0026,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0026,COMP-0026,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0026,COMP-0026,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0026,COMP-0026,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0026,COMP-0026,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0026,COMP-0026,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0027,COMP-0027,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0027,COMP-0027,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0027,COMP-0027,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0027,COMP-0027,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0027,COMP-0027,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0027,COMP-0027,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0027,COMP-0027,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0028,COMP-0028,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0028,COMP-0028,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0028,COMP-0028,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0028,COMP-0028,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0028,COMP-0028,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0028,COMP-0028,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0028,COMP-0028,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0029,COMP-0029,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0029,COMP-0029,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0029,COMP-0029,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0029,COMP-0029,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0029,COMP-0029,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0029,COMP-0029,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0029,COMP-0029,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0030,COMP-0030,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0030,COMP-0030,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0030,COMP-0030,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0030,COMP-0030,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0030,COMP-0030,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0030,COMP-0030,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0030,COMP-0030,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0031,COMP-0031,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0031,COMP-0031,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0031,COMP-0031,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0031,COMP-0031,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0031,COMP-0031,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0031,COMP-0031,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0031,COMP-0031,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0032,COMP-0032,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0032,COMP-0032,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0032,COMP-0032,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0032,COMP-0032,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0032,COMP-0032,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0032,COMP-0032,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0032,COMP-0032,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0033,COMP-0033,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0033,COMP-0033,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0033,COMP-0033,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0033,COMP-0033,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0033,COMP-0033,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0033,COMP-0033,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0033,COMP-0033,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0034,COMP-0034,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0034,COMP-0034,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0034,COMP-0034,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0034,COMP-0034,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0034,COMP-0034,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0034,COMP-0034,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0007_COMP-0034,COMP-0034,Indirect Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0001_COMP-0035,COMP-0035,Capital Account,,Account,Equity,BalanceSheet,2024-01-01,2024-05-01
GRP-0002_COMP-0035,COMP-0035,Bank Accounts,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0003_COMP-0035,COMP-0035,Cash-in-Hand,,Account,Asset,BalanceSheet,2024-01-01,2024-05-01
GRP-0004_COMP-0035,COMP-0035,Sales Accounts,,Account,Income,P&L,2024-01-01,2024-05-01
GRP-0005_COMP-0035,COMP-0035,Purchase Accounts,,Account,Expense,P&L,2024-01-01,2024-05-01
GRP-0006_COMP-0035,COMP-0035,Direct Expenses,,Account,Expense,P&L,2024-01-01,2024-05-01
