LogID,CompanyID,WorkflowID,WorkflowName,TriggerType,StartTime,EndTime,Status,RecordsProcessed,ErrorMessage,DurationSeconds,CreatedAt
LOG-0022,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-07 03:00:00,2024-04-07 03:01:30,Success,1,,90,2024-04-07 03:00:00
LOG-0023,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-08 02:00:00,2024-04-08 02:00:14,Success,3,,14,2024-04-08 02:00:00
LOG-0024,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-08 03:00:00,2024-04-08 03:02:45,Success,2,,165,2024-04-08 03:00:00
LOG-0025,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-08 03:30:00,2024-04-08 03:31:30,Success,49,,90,2024-04-08 03:30:00
LOG-0026,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-09 02:00:00,2024-04-09 02:00:10,Success,3,,10,2024-04-09 02:00:00
LOG-0027,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-09 03:00:00,2024-04-09 03:01:15,Success,0,,75,2024-04-09 03:00:00
LOG-0028,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-10 02:00:00,2024-04-10 02:00:11,Success,3,,11,2024-04-10 02:00:00
LOG-0029,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-10 03:00:00,2024-04-10 03:02:30,Success,1,,150,2024-04-10 03:00:00
LOG-0030,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-10 03:30:00,2024-04-10 03:32:00,Success,49,,120,2024-04-10 03:30:00
LOG-0031,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-11 02:00:00,2024-04-11 02:00:12,Success,3,,12,2024-04-11 02:00:00
LOG-0032,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-11 03:00:00,2024-04-11 03:01:00,Success,0,,60,2024-04-11 03:00:00
LOG-0033,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-12 02:00:00,2024-04-12 02:00:13,Success,3,,13,2024-04-12 02:00:00
LOG-0034,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-12 03:00:00,2024-04-12 03:02:15,Success,1,,135,2024-04-12 03:00:00
LOG-0035,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-13 02:00:00,2024-04-13 02:00:10,Success,3,,10,2024-04-13 02:00:00
LOG-0036,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-13 03:00:00,2024-04-13 03:01:30,Success,0,,90,2024-04-13 03:00:00
LOG-0037,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-13 03:30:00,2024-04-13 03:31:45,Success,49,,105,2024-04-13 03:30:00
LOG-0038,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-14 02:00:00,2024-04-14 02:00:15,Success,3,,15,2024-04-14 02:00:00
LOG-0039,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-14 03:00:00,2024-04-14 03:01:00,Success,0,,60,2024-04-14 03:00:00
LOG-0040,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-15 02:00:00,2024-04-15 02:00:11,Success,3,,11,2024-04-15 02:00:00
LOG-0041,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-15 03:00:00,2024-04-15 03:02:30,Success,1,,150,2024-04-15 03:00:00
LOG-0042,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-15 03:30:00,2024-04-15 03:32:00,Success,49,,120,2024-04-15 03:30:00
LOG-0043,COMP-0001,WF-01,01_Tally_Company_Sync,Manual,2024-04-16 09:00:00,2024-04-16 09:00:12,Success,3,,12,2024-04-16 09:00:00
LOG-0044,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-16 03:00:00,2024-04-16 03:01:45,Success,0,,105,2024-04-16 03:00:00
LOG-0045,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-17 02:00:00,2024-04-17 02:00:13,Success,3,,13,2024-04-17 02:00:00
LOG-0046,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-17 03:00:00,2024-04-17 03:02:00,Success,2,,120,2024-04-17 03:00:00
LOG-0047,COMP-0001,WF-09,09_Tally_Inventory_Sync,Scheduled,2024-04-17 03:30:00,2024-04-17 03:31:30,Success,49,,90,2024-04-17 03:30:00
LOG-0048,COMP-0001,WF-01,01_Tally_Company_Sync,Scheduled,2024-04-18 02:00:00,2024-04-18 02:00:14,Success,3,,14,2024-04-18 02:00:00
LOG-0049,COMP-0001,WF-05,05_Tally_Sales_Voucher_Sync,Scheduled,2024-04-18 03:00:00,2024-04-18 03:01:30,Success,1,,90,2024-04-18 03:00:00
LOG-0050,COMP-0001,WF-11,11_Tally_Dashboard_Refresh,Scheduled,2024-04-18 04:00:00,2024-04-18 04:00:45,Success,12,,45,2024-04-18 04:00:00
